"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Chengdu","China",NA,NA,"frc7000",NA,NA,NA,NA,"Chengdu No.7 Wanda High School International Education Centre","Newton's 4th Law","610000",2018,"Chengdu No.7 Wanda High School International Education Centre","Sichuan",7000,NA
NA,"Zhengzhou ","China",NA,NA,"frc7001",NA,NA,NA,NA,"Zhengzhou No.7  middle school","Buning Power","450000",2018,"Zhengzhou No.7  middle school","Henan",7001,NA
NA,"Taiyuan","China",NA,NA,"frc7002",NA,NA,NA,NA,"Shanxi youth robotics education asociation","风云蹦豆","030006",2018,"Shanxi youth robotics education asociation","Shanxi",7002,NA
NA,"Changhua","Chinese Taipei",NA,NA,"frc7003",NA,NA,NA,NA,"Ching Chen High School","Robots A-Gogo","50055",2018,"Ching Chen High School","Changhua",7003,NA
NA,"Ossining","USA",NA,NA,"frc7004",NA,NA,NA,NA,"Ossining High School & Anne M Dorner Middle School","Ossining Orbiters ","10562",2012,"Ossining High School & Anne M Dorner Middle School","New York",7004,NA
NA,"Seattle","USA",NA,NA,"frc7005",NA,NA,NA,NA,"Aviation High School","RAHS Phoenix","98108",2018,"Aviation High School","Washington",7005,NA
NA,"Shenzhen","China",NA,NA,"frc7006",NA,NA,NA,NA,"Shenzhen Mingde Experimental School","IMC","519000",2018,"Shenzhen Mingde Experimental School","Guangdong",7006,"http://www.c7006.com"
NA,"Beijing","China",NA,NA,"frc7007",NA,NA,NA,NA,"Beijing 21st International school ","RROOTT","100024",2018,"Beijing 21st International school ","Beijing",7007,NA
NA,"İstanbul","Turkey",NA,NA,"frc7008",NA,NA,NA,NA,"Yakacik Mesleki ve Teknik Anadolu Lisesi","YakRob","34000",2018,"Yakacik Mesleki ve Teknik Anadolu Lisesi","Istanbul",7008,"http:///www.yeml.meb.k12.tr"
NA,"ZhengZhou","China",NA,NA,"frc7009",NA,NA,NA,NA,"ZHENGZHOU NO.101 SCHOOL ","Carp & Donkey","450000",2018,"ZHENGZHOU NO.101 SCHOOL","Henan",7009,NA
NA,"MERKEZ","Turkey",NA,NA,"frc7010",NA,NA,NA,NA,"Sinop Fen Lisesi/Sinop Belediyesi/Opet/Sinop Ticaret ve Sanayi Odası/SOLIDWORKS/CATIA/3M&Sinop Fen Lisesi","SINFEN ROBOTICS","57000",2018,"Sinop Fen Lisesi","Sinop",7010,NA
NA,"ISPARTA","Turkey",NA,NA,"frc7011",NA,NA,NA,NA,"ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ","ROBOFEN","32000",2018,"ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ","Isparta",7011,NA
NA,"Bolzano","Italy",NA,NA,"frc7012",NA,NA,NA,NA,"Istituto Rainerum Bolzano","Rainerum Robotics","39100",2018,"Istituto Rainerum Bolzano","Bolzano",7012,NA
NA,"Scarborough","Canada",NA,NA,"frc7013",NA,NA,NA,NA,"FIRST Canada/Argosy Rookie Grant/Humber College/Microsoft/First TD Grant&African-Canadian Christian Network","ACCN Techtronix","M1L 0H2",2018,"African-Canadian Christian Network","Ontario",7013,"http://accntechtronix.com.com/contact.html"
NA,"yiwu","China",NA,NA,"frc7014",NA,NA,NA,NA,"YI WU Middle School ","YIWU TEAM","322000",2018,"YI WU Middle School ","Zhejiang",7014,NA
NA,"Istanbul","Turkey",NA,NA,"frc7015",NA,NA,NA,NA,"Atakoy Kultur Fen Lisesi","Bannerlords","34156",2018,"Atakoy Kultur Fen Lisesi","Istanbul",7015,NA
NA,"Putnam Valley","USA",NA,NA,"frc7016",NA,NA,NA,NA,"Putnam Valley High School","PV Shock Bots","10579",2018,"Putnam Valley High School","New York",7016,NA
NA,"Mesa","USA",NA,NA,"frc7017",NA,NA,NA,NA,"NASA/AZFirst/Steve Sanghi Family Foundation/James A Unruh Family Foundation/Arconic Foundation&Family/Community","Fellowship of the Gear","85212",2018,"Family/Community","Arizona",7017,"http:///fogrobotics.org"
NA,"El Espinal","Mexico",NA,NA,"frc7018",NA,NA,NA,NA,"ESCUELA SECUNDARIA TECNICA No. 18 ","Peñoles - EOLOTICS","70117",2018,"ESCUELA SECUNDARIA TECNICA No. 18","Oaxaca",7018,NA
NA,"Hopkins","USA",NA,NA,"frc7019",NA,NA,NA,NA,"NASA Robotics Alliance Project/3M/PaR Systems, Inc./Caspian Commercial Realty Group/Chesterton Academy&Chesterton Academy","TechNoLogic","55343",2018,"Chesterton Academy","Minnesota",7019,NA
NA,"Iron Mountain","USA",NA,NA,"frc7020",NA,NA,NA,NA,"Lake Shore Systems/Hometowne Lumber&Iron Mountain High School","IM ROBOT","49801",2018,"Iron Mountain High School","Michigan",7020,NA
NA,"Arcadia","USA",NA,NA,"frc7021",NA,NA,NA,NA,"Ashley Furniture Inc./Lab Midwest/Mathy Construction/Jim & Karen Dotta/Tri-County Communications Cooperative/Global Finishing Solutions/Arcadia Credit Union&Family/Community","TC Robotics","54612",2018,"Family/Community","Wisconsin",7021,"https://www.tcrobotics.tech"
NA,"Cambridge","Canada",NA,NA,"frc7022",NA,NA,NA,NA,"Rockwell Automation/ATS/Brick Works Academy&St. Benedicts Catholic Secondary School","ACE Robotics","N1R 5W1",2018,"St. Benedicts Catholic Secondary School","Ontario",7022,"https://stbenedict.wcdsb.ca/student-life/clubs/ace-robotics-team/"
NA,"Tamworth","Australia",NA,NA,"frc7023",NA,NA,NA,NA,"Oxley high school","Tamworth Titans","2340",2018,"Oxley high school","New South Wales",7023,NA
NA,"Egg Harbor Township","USA",NA,NA,"frc7024",NA,NA,NA,NA,"Egg Harbor Township Police Activities League/Atlantic County Institute of Technology/Sears&N/A","ENFORCERS","08234",2018,"N/A","New Jersey",7024,"http:///www.EHTPAL.org"
NA,"Fountain Valley","USA",NA,NA,"frc7025",NA,NA,NA,NA,"FRC Team 4276: Surf City Vikings / Baron Academic Foundation / SOLIDWORKS / FRC Team 6535: Edison Sustainabots / Argosy FRC Rookie Grant 2018 / FRC Team 4470: Valencia High School Ti-Gears & Fountain Valley High School","BETA","92708",2018,"Fountain Valley High School","California",7025,NA
NA,"Fort Lauderdale","USA",NA,NA,"frc7026",NA,NA,NA,NA,"Zimmerman Advertising/State of Florida/Alro Metals & Pine Crest School","Team Vinity","33334",2018,"Pine Crest School","Florida",7026,"https://www.pinecrest.edu"
NA,"Parish","USA",NA,NA,"frc7027",NA,NA,NA,NA,"John Deere / Novelis & Altmar-Parish-Williamstown HS","Radioactive Rebels Robotics","13131",2018,"Altmar-Parish-Williamstown HS","New York",7027,NA
NA,"Saint Michael","USA",NA,NA,"frc7028",NA,NA,NA,NA,"Philips/Metro Mold & Design/Pellco Machine/Ultra Machining Comapny/RMS&St Michael-Albertville HS","Binary Battalion","55376",2018,"St Michael-Albertville HS","Minnesota",7028,"http://7028robotics.com/"
NA,"Laurinburg","USA",NA,NA,"frc7029",NA,NA,NA,NA,"Scotland County Chamber of Commerce / Duke Energy / Scotland County CTE Department & Scotland High School","Scotbotics","28352",2018,"Scotland High School","North Carolina",7029,NA
NA,"Lake Placid","USA",NA,NA,"frc7030",NA,NA,NA,NA,"Northwood School Robotics & Lake Placid Middle High School","Lake Placid Robotics - The ROBOlympians","12946",2018,"Lake Placid Middle High School","New York",7030,"https://lprobotics.wixsite.com/lprobotics"
NA,"Delanson","USA",NA,NA,"frc7031",NA,NA,NA,NA,"&Duanesburg Jr Sr High School","Duanesburg Jr./Sr. High School","12053",2018,"Duanesburg Jr Sr High School","New York",7031,NA
NA,"La Pine","USA",NA,NA,"frc7032",NA,NA,NA,NA,"La Pine High School","Raptors","97739",2018,"La Pine High School","Oregon",7032,NA
NA,"Medianeira","Brazil",NA,NA,"frc7033",NA,NA,NA,NA,"3M&AIDTEC","Roosters","85884-000",2018,"AIDTEC","Paraná",7033,NA
NA,"West Linn","USA",NA,NA,"frc7034",NA,NA,NA,NA,"West Linn High School","2B Determined","97068",2018,"West Linn High School","Oregon",7034,NA
NA,"İstanbul/Beşiktaş","Turkey",NA,NA,"frc7035",NA,NA,NA,NA,"1000 VOLT/RE-PLUS/YURTİÇİ KARGO/Anadolu Etap Tarım ve Gıda Ürünleri Sanayi ve Ticaret A.Ş./MEF Schools/Evonik Industries AG/PTA&Özel MEF Okulları","MEF Thunders","34340",2018,"Özel MEF Okulları","Istanbul",7035,NA
NA,"Brooklyn","USA",NA,NA,"frc7036",NA,NA,NA,NA,"The Berkeley Carroll School","The RoarBots","11217",2018,"The Berkeley Carroll School","New York",7036,NA
NA,"Fresnillo","Mexico",NA,NA,"frc7037",NA,NA,NA,NA,"MINERA FRESNILLO PLC &Centro de Bachillerato Tecnologico industrial y de servicios No. 1","Jeunes d'argent","99020",2018,"Centro de Bachillerato Tecnologico industrial y de servicios No. 1","Zacatecas",7037,NA
NA,"Minneapolis","USA",NA,NA,"frc7038",NA,NA,NA,NA,"NASA & Totino-Grace High School","TG Eagles (Pizza Pi's)","55432",2018,"Totino-Grace High School","Minnesota",7038,"https://www.totinograce.org/"
NA,"Kfar hanoar Neurim ","Israel",NA,NA,"frc7039",NA,NA,NA,NA,"Neurim ","❌⭕","4227822",2018,"Neurim","HaMerkaz",7039,NA
NA,"TURUACHI","Mexico",NA,NA,"frc7040",NA,NA,NA,NA,"Fresnillo PLC&CECYTECH EMSaD 01 TURUACHI","POTROBOTS","33826",2018,"CECYTECH EMSaD 01 TURUACHI","Chihuahua",7040,NA
NA,"Carlton","USA",NA,NA,"frc7041",NA,NA,NA,NA,"Boston Scientific / JS Realty / Hunt Electric / Sappi / Kramer Construction / Altec & Carlton High School","Doomsday Dogs ","55718",2018,"Carlton High School","Minnesota",7041,NA
NA,"Long Beach","USA",NA,NA,"frc7042",NA,NA,NA,NA,"The Boeing Company/Long Beach Unified School District/Calnetix Technologies/Andrea Testa, Realtor/Long Beach Poly High School - Associated Student Body/California Heights United Methodist Church/LaserFische/Industrial Metal Supply/Lisi Aerospace/Primo Powder Coating&Polytechnic High School","Poly Rabbotics","90813",2018,"Polytechnic High School","California",7042,"https://lbpolyrabbotics.org"
NA,"Rocky River","USA",NA,NA,"frc7043",NA,NA,NA,NA,"OhioCAT/Rocky River Education Foundation/Earnest Machine&Rocky River High School","RoboPirates","44116",2018,"Rocky River High School","Ohio",7043,"https://sites.google.com/rrcs.org/rocky-river-robotics"
NA,"Atasehir","Turkey",NA,NA,"frc7044",NA,NA,NA,NA,"Ozel Fenerbahce Anadolu Lisesi","FeneRobotics","34750",2018,"Ozel Fenerbahce Anadolu Lisesi","Istanbul",7044,NA
NA,"Denville","USA",NA,NA,"frc7045",NA,NA,NA,NA,"Picatinny Arsenal&Morris Catholic High School","MCCrusaders","07834",2018,"Morris Catholic High School","New Jersey",7045,"http:///www.morriscatholic.org"
NA,"San Luis Potosí","Mexico",NA,NA,"frc7046",NA,NA,NA,NA,"Family/Community","UNIMATE","78150",2018,"Family/Community","San Luis Potosí",7046,NA
NA,"zhengzhou ","China",NA,NA,"frc7047",NA,NA,NA,NA,"Henan province experiment School","Magic Frog","450000",2018,"Henan province experiment School","Henan",7047,NA
NA,"Fargo","USA",NA,NA,"frc7048",NA,NA,NA,NA,"John Deere, Microsoft, McNeilus Steel, Argosy Foundation / Kjos Investments / Midwest Coatings / Sherwin Williams / Doosan Bobcat / Molex / Verizon / Osh Kosh / JLG / Diamond J Customs, LLC / Classic AlumaDeck / Appareo / Argosy Foundation & Davies High School & Fargo North High School & Fargo South High School","Red River Rage","58102",2018,"Davies High School & Fargo South High School & Fargo North High School","North Dakota",7048,NA
NA,"Shreveport","USA",NA,NA,"frc7049",NA,NA,NA,NA,"Magnolia School of Excellence","Marine Machines","71104",2018,"Magnolia School of Excellence","Louisiana",7049,NA
NA,"ISTANBUL","Turkey",NA,NA,"frc7050",NA,NA,NA,NA,"SULTANAHMET MESLEKI VE TEKNIK ANADOLU LISESI","SARNIC","34122",2018,"SULTANAHMET MESLEKI VE TEKNIK ANADOLU LISESI","Istanbul",7050,NA
NA,"Baldwin Park","USA",NA,NA,"frc7051",NA,NA,NA,NA,"NASA & Sierra Vista High School","RoboDons","91706",2018,"Sierra Vista High School","California",7051,NA
NA,"Thunder Bay","Canada",NA,NA,"frc7052",NA,NA,NA,NA,"Argosy Foundation/FIRST Canada/Confederation College/Deciphr/Professional Engineers Ontario/Iron Range Bus Lines/CG Labs/Dougall Media/Sencia Canada Ltd. & St. Ignatius High School","Falcotronix","P7A2J6",2018,"St. Ignatius High School","Ontario",7052,"http://www.falcotronix.com"
NA,"St-Hubert","Canada",NA,NA,"frc7053",NA,NA,NA,NA,"Héroux Devtek/Collins Aerospace (formaly) UTC/Pratt & Whitney Canada/Hydro Québec/7Dfx/Clinique Dentaire Dre Chantal Lamothe&Heritage Regional High School","Robo Huskies","J3Y3S3",2018,"Heritage Regional High School","Québec",7053,NA
NA,"Grand Rapids","USA",NA,NA,"frc7054",NA,NA,NA,NA,"Calvin College & South Christian High School","SC Sailors","49548",2018,"South Christian High School","Michigan",7054,NA
NA,"Bay Village","USA",NA,NA,"frc7055",NA,NA,NA,NA,"Oster Services/Hyland Software/KJ Trading Systems/CultureShoc/Kowalski Heat Treating /Bay Village City School District&Bay High School","Quantum Steam","44140",2018,"Bay High School","Ohio",7055,"https://sites.google.com/bayschoolsohio.org/bayhigh-quantum-steam/home?authuser=0"
NA,"Fowlerville","USA",NA,NA,"frc7056",NA,NA,NA,NA,"KW Corporation&Fowlerville High School","The F.A.S.T. Team - Fowlerville Area Scientific Technicians","48836",2018,"Fowlerville High School","Michigan",7056,"https://www.team7056.com"
NA,"Orange Cove","USA",NA,NA,"frc7057",NA,NA,NA,NA,"Orange Cove High School","Titanators","93646",2018,"Orange Cove High School","California",7057,NA
NA,"Strathroy","Canada",NA,NA,"frc7058",NA,NA,NA,NA,"Parmerit/Armo/The Truck Shop/Hannah Stadler/Strathroy District Collegiate Institute&THAMES VALLEY DISTRICT PUBLIC BOARD","StrathDroids","N7G 3H8",2018,"THAMES VALLEY DISTRICT PUBLIC BOARD","Ontario",7058,NA
NA,"Prescott","USA",NA,NA,"frc7059",NA,NA,NA,NA,"Embry-Riddle Aeronautical University - Space Robotics Laboratory/FRC Team 2486 The Coconuts/SOAR/FRC Team 5417&Family/Community","Bot-E Builders","86301",2018,"Family/Community","Arizona",7059,NA
NA,"Gainesville","USA",NA,NA,"frc7060",NA,NA,NA,NA,"Riverside Military Academy ","Riverside Military Academy Eagle Bots ","30501",2018,"Riverside Military Academy","Georgia",7060,NA
NA,"San Antonio","USA",NA,NA,"frc7063",NA,NA,NA,NA,"Karen Wagner High School","Wagner TRILOBYTES","78244",2018,"Karen Wagner High School","Texas",7063,NA
NA,"Lansing","USA",NA,NA,"frc7064",NA,NA,NA,NA,"2021 FIRST Robotics Competition Equity and Access grant/Prime Architects/Onsite Construction Group/NAVY Recruiting Command, St. Louis District&Lansing High School","Voltron Robotics","66048",2018,"Lansing High School","Kansas",7064,"https://sites.google.com/a/lansinglions.org/voltron-robotics-club/"
NA,"Montgomery","USA",NA,NA,"frc7065",NA,NA,NA,NA,"MRTS Inc. & Carver Senior High School","Wolverine 1 ","36110",2018,"Carver Senior High School","Alabama",7065,NA
NA,"Conway","USA",NA,NA,"frc7066",NA,NA,NA,NA,"Faulkner County Library&Family/Community","Faulkner County Library Gadget Droids","72032",2018,"Family/Community","Arkansas",7066,NA
NA,"jerusalem","Israel",NA,NA,"frc7067",NA,NA,NA,NA,"PICO Kids & seligsberg","Team Streak","93810",2018,"seligsberg","Yerushalayim",7067,"https://www.facebook.com/TeamStreak7067/"
NA,"Saint Francis","USA",NA,NA,"frc7068",NA,NA,NA,NA,"Medtronic/Delta Modtech/PMMI/Automation, Inc/Mechatronic Solutions/Automation Sensor/St. Francis Area Chamber of Commerce&St Francis High School","Mechanical Masterminds","55070",2018,"St Francis High School","Minnesota",7068,"https://www.stfrancisrobotics.org/"
NA,"Taipei","Chinese Taipei",NA,NA,"frc7069",NA,NA,NA,NA,"KO-Tec Technology Co., Ltd./The United Daily News Group (UDN)/Dragon Tour/The National Taiwan University of Science and Technology (NTUST)/Kadery Technology Co., Ltd.&Taipei DongShan High School&Cuddle International Education","Taipei 101","11073",2018,"Cuddle International Education & Taipei DongShan High School","Taipei",7069,"https://www.facebook.com/search/top/?q=frc%20team%20%3A%20taipei101%207069"
