"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Hudsonville","USA",NA,NA,"frc1500",NA,NA,NA,NA,"Tric Tool LTD/Whitson Insulation /Zormot/ITT/Re-Soures Industies/Best Metal Products/North Coast Components/Tas CNC/Randall Tool & Manufacturing/Zatkoff Family Founation/Bond FluidAir Inc & Hudsonville Public   & Jenison Public & Home Schools & Freedom Baptist","Metal-Morphose","49426",2005,NA,"MI",1500,"http://www.hudsonvillerobotics.us"
NA,"Huntington","USA",NA,NA,"frc1501",NA,NA,NA,NA,"Carrier/PHD, Inc./YRG Robotics/Ecolab/Huntington County Community Learning Center/BAE Systems/AEP/Apollo Casters/NASA/Foil Die International/First Indiana Robotics/Corteva & 4-H","Team THRUST","46750",2005,"4-H","Indiana",1501,"http://huntingtonrobotics.org"
NA,"Chelsea","USA",NA,NA,"frc1502",NA,NA,NA,NA,"Chelsea School District/Bosch/Hilbert Family/Bauer Controls/Thomson Reuters/Jackson Machine and Tool/Coy Lab Products/La Jolla Fine Jewelery&Chelsea High School","Technical Difficulties","48118",2005,"Chelsea High School","Michigan",1502,"https://www.chelsearobotics.org/"
NA,"Niagara Falls","Canada",NA,NA,"frc1503",NA,NA,NA,NA,"District School Board of Niagara / General Motors St. Catharines Powertrain / Airbus Helicopters / Ontario Power Generation & Westlane Secondary School","Spartonics","L2H 1T5",2005,NA,"ON",1503,"http:///www.spartonics.org"
NA,"Okemos","USA",NA,NA,"frc1504",NA,NA,NA,NA,"General Motors/Dart Foundation/State of Michigan Department of Education&Okemos High School","Desperate Penguins","48864",2005,"Okemos High School","Michigan",1504,"http://team1504.com"
NA,"Roy","USA",NA,NA,"frc1505",NA,NA,NA,NA,"NASA Ames Research Center/Boeing/Aerojet/Stevens Henager College/Qwest & Roy High School","Roybotics","84067",2005,NA,"UT",1505,"http://www.roybotics.com"
NA,"Flint","USA",NA,NA,"frc1506",NA,NA,NA,NA,"Kettering University/General Motors/NASA/Balian Eye Center/Ford Motor Company/State of Michigan/United Way/Midstate Bolt & Screw/Mid-Michigan Robotics Alliance&Family/Community","Metal Muscle","48504",2005,"Family/Community","Michigan",1506,"http://www.Team1506.com"
NA,"Lockport","USA",NA,NA,"frc1507",NA,NA,NA,NA,"MAHLE / GM / ExxonMobil / Reid Petroleum / Suzie Vasko / UAW Local 686 / Molex & Lockport High School","Warlocks","14094",2005,"Lockport High School","New York",1507,"https://www.warlocks1507.com"
NA,"Detroit","USA",NA,NA,"frc1508",NA,NA,NA,NA,"Ford Motor Company/ArvinMeritor/General Motors & Southwestern HS & Western International HS","RoboWizards","48209",2005,NA,"MI",1508,NA
NA,"Ferndale","USA",NA,NA,"frc1509",NA,NA,NA,NA,"Convergence Education Foundation/Hayes Lemmerz & Ferndale High School","Screamin Eagles","48220",2005,NA,"MI",1509,"http://www.screamineagles.org"
NA,"Beaverton","USA",NA,NA,"frc1510",NA,NA,NA,NA,"Intel/Boeing/LAM Foundation/Autodesk/iQ Credit Union/Bonneville/Microchip/Oregon Dept of Education (ODE)/Tektronix/Southwest Trailer Service/BPS Robotics&Westview High School","Wildcats","97229",2005,"Westview High School","Oregon",1510,"http:///www.bpsrobotics.org/1510"
NA,"Penfield","USA",NA,NA,"frc1511",NA,NA,NA,NA,"L3Harris/Apple/Snooky Kurtz & Penfield High School","Rolling Thunder","14526",2005,"Penfield High School","New York",1511,"http://www.penfieldrobotics.com/"
NA,"Concord","USA",NA,NA,"frc1512",NA,NA,NA,NA,"Criterium-Turner Engineers/Penn Engineering/Plano Molding Company & St Paul'S School","The Big Red","03301",2005,"St Paul'S School","New Hampshire",1512,"http://robotics.sps.edu"
NA,"Spring","USA",NA,NA,"frc1513",NA,NA,NA,NA,"ExxonMobil/ITT/Lone Star College- North Harris & Carl Wunsche Sr. High School","Cyclones","77373",2005,NA,"TX",1513,"https://web.springisd.org/FirstRobotics/"
NA,"Toronto","Canada",NA,NA,"frc1514",NA,NA,NA,NA,"TDSB & West Humber CI","The Vikes","M9V 3S3",2005,NA,"ON",1514,"http:///www.team1514.com"
NA,"Beverly Hills","USA",NA,NA,"frc1515",NA,NA,NA,NA,"Enterprise / BHHS Career Technical Education / BHEF & Beverly Hills High School","MorTorq","90212",2005,"Beverly Hills High School","California",1515,"http://team1515.org"
NA,"San Ramon","USA",NA,NA,"frc1516",NA,NA,NA,NA,"W & K Automotive/ROP Contra Costa Co, CA/San Ramon Valley Education Foundation & California High School","Fightin' Grizzlies","94583",2005,NA,"California",1516,"http:///tetrabot.com"
NA,"Concord","USA",NA,NA,"frc1517",NA,NA,NA,NA,"Grossman, Tucker, Perreault & Pfleger, PLLC / TEC - Technology Education Concepts / Bishop Brady High School / Dartmouth-Hitchcock Hospital / Allegro Microsystems LLC / Bittware / FIRST / SolidWorks & Bishop Brady High School","AMP'D UP","03301",2005,"Bishop Brady High School","New Hampshire",1517,"https://sites.google.com/bishopbrady.edu/bbhs-frc-robotics-1517"
NA,"Palmyra","USA",NA,NA,"frc1518",NA,NA,NA,NA,"Xerox/APD Engineering and Architecture/JRLON/Mastodon Design LLC/Exelon/Faradyne Motors/Purple Painted Lady&Palmyra-Macedon High School","Raider Robotics","14522",2005,"Palmyra-Macedon High School","New York",1518,"http:///www.palmacfirst.com"
