"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"New London","USA",NA,NA,"frc500",NA,NA,NA,NA,"U.S. Coast Guard Academy, USCG Foundation, USCG Alumni Association & Local Supporters & Grosso Regional Vocational Technical High School & Local Home School Community & New London Magnet High School & Westerly, RI  High School","Team 500/Team USA","06320",2001,NA,"CT",500,"http://www.cgateam500.org/"
NA,"Manchester","USA",NA,NA,"frc501",NA,NA,NA,NA,"Stu, Sam & Lexxie/Louis P. Cote Inc./Geneia/Liberty Utilities/New Hampshire Stamping Co&4-H&Goffstown High School&Manchester High School-West","The PowerKnights","03101",2001,"4-H & Manchester High School-West & Goffstown High School","New Hampshire",501,"http://powerknights.com"
NA,"Rockville Centre","USA",NA,NA,"frc502",NA,NA,NA,NA,"Team 502","Robo Rockers","11570",2001,NA,"NY",502,NA
NA,"Novi","USA",NA,NA,"frc503",NA,NA,NA,NA,"Magna Seating Systems (Primary Sponsor) / Denso / The Nissan Foundation / Tata Technologies / Ford Motor Company / Novi Community School District / NGK Sparkplugs / ASCO Numatics Inc. / Autodesk / Michigan Department of Education & Novi High School","Frog Force","48375",2001,"Novi High School","Michigan",503,"http://www.frogforce503.org"
NA,"Little Silver","USA",NA,NA,"frc504",NA,NA,NA,NA,"Team 504","Team 504","07739",2001,NA,"NJ",504,NA
NA,"Yonkers","USA",NA,NA,"frc505",NA,NA,NA,NA,"Con Edison/Westchester Community College & Saunders Trades and Technical High School","Team 505","10701",2001,NA,"NY",505,NA
NA,"South Huntington","USA",NA,NA,"frc506",NA,NA,NA,NA,"NASA/Wire to Water Inc./Power Aisle, Inc/Cadin Contracting Corp. & St. Anthony's High School","BroBots","11747",2001,NA,"NY",506,"http://www.startrobotics.vze.com"
NA,"Greenville","USA",NA,NA,"frc507",NA,NA,NA,NA,"Walmart/Electrolock/Computer Dynamics & Carolina Academy","Solid Orange Academy of Robotics (SOAR)","29611",2001,NA,"SC",507,"http:///www.carolinaroboteers.com"
NA,"Avon","USA",NA,NA,"frc508",NA,NA,NA,NA,"Team 508","Team 508","06001",2001,NA,"CT",508,NA
NA,"Bedford","USA",NA,NA,"frc509",NA,NA,NA,NA,"Schneider Electric/SilverTech/NHDOE/BAE Systems/Bedford School District&Bedford High School","Red Storm","03110",2001,"Bedford High School","New Hampshire",509,"http://www.redstorm509.com"
NA,"Highland Springs","USA",NA,NA,"frc510",NA,NA,NA,NA,"Infineon Technologies, Richmond & Highland Springs Technical Center","Hawaii Five-10","23075",2001,NA,"VA",510,NA
NA,"Granada Hills","USA",NA,NA,"frc511",NA,NA,NA,NA,"Granada Hills Charter High","The Robodox",NA,2001,NA,"California",511,"http://therobodox.org"
NA,"Hull","USA",NA,NA,"frc512",NA,NA,NA,NA,"Team 512","Team 512","02045",2001,NA,"MA",512,NA
NA,"Oklahoma City","USA",NA,NA,"frc513",NA,NA,NA,NA,"OSU-OKC & OKC Public Schools","Renegade Robotics","73101",2001,NA,"OK",513,"http://www.renegaderobotics.com"
NA,"Miller Place","USA",NA,NA,"frc514",NA,NA,NA,NA,"Checkmate Industries / Long Island Anesthesia Physicians / Simons Center for Geometry and Physics / RES Home Care / Sheltair / Long Island Fireplace and Stone / MP Robotics Booster & Miller Place High School","Entropy","11764",2001,"Miller Place High School","New York",514,"https://team514.com/"
NA,"Detroit","USA",NA,NA,"frc515",NA,NA,NA,NA,"Gallagher-Kaiser  Corporation/Prevention Network and Skillman Foundation/GM-MAAC & Osborn Educational Complex","TechnoKnights","48205",2001,NA,"MI",515,NA
NA,"New Providence","USA",NA,NA,"frc517",NA,NA,NA,NA,"Team 517","Team 517","07974",2001,NA,"NJ",517,NA
NA,"Grand Rapids","USA",NA,NA,"frc518",NA,NA,NA,NA,"GRAPCEP Davenport/Gumbo/Steelcase/GE Aviation Systems/IST & Ottawa Hills High School","Blue Steel","49506",2001,NA,"MI",518,NA
NA,"Detroit","USA",NA,NA,"frc519",NA,NA,NA,NA,"General Motors Foundation-GM CCRW/Harvey Industries/ITT Technical Institute/Detroit Public Schools/American Integrated Supply","Robo Masters","48215",2001,NA,"MI",519,"http://team519.bravehost.com"
NA,"Deer Park","USA",NA,NA,"frc520",NA,NA,NA,NA,"Team 520","Team 520","77536",2001,NA,"TX",520,NA
NA,"Waterford","USA",NA,NA,"frc521",NA,NA,NA,NA,"Dominion Millstone Power Station &  Waterford High School","L33T CREW (""leet crew"")","06385",2001,NA,"CT",521,"http://www.waterfordschools.org/whsnew/robotics_club/home.html"
NA,"Staten Island","USA",NA,NA,"frc522",NA,NA,NA,NA,"Ralph Mckee Career & Tech HS","ROBO WIZARDS","10301",2001,"Ralph Mckee Career & Tech HS","New York",522,"http://www.robowizards.com"
NA,"Bakersfield","USA",NA,NA,"frc524",NA,NA,NA,NA,"Team 524","Team 524","93301",2001,NA,"CA",524,NA
NA,"Cedar Falls","USA",NA,NA,"frc525",NA,NA,NA,NA,"Cedar Falls Community Schools/John Deere/NASA/BAE Systems/DISTek Integration, Inc/PTC/Cedar Falls Education Association/Hauber Design Associates, LLC./Kryton Engineered Metals&Cedar Falls High School","Swartdogs","50613",2001,"Cedar Falls High School","Iowa",525,"http://www.525swartdogs.org"
NA,"Massapequa","USA",NA,NA,"frc527",NA,NA,NA,NA,"Plainedge HS & Plainedge High School","Red Dragons","11758",2001,"Plainedge High School","New York",527,"http://www.team527.com/"
