"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Clayton","USA",NA,NA,"frc4500",NA,NA,NA,NA,"Nidec Motor Co. / Boeing / Clayton PTO / Clayton Alumni Association / Monsanto Fund & Clayton High School","RoboHounds","63105",2013,"Clayton High School","Missouri",4500,"https://www.robohounds.com/"
NA,"Santa Monica","USA",NA,NA,"frc4501",NA,NA,NA,NA,"New Roads High School","Humans","90404",2013,"New Roads High School","California",4501,"http://www.firstinspires.org/"
NA,"New Braunfels","USA",NA,NA,"frc4502",NA,NA,NA,NA,"FIRST GEAR","The Octoπ","78130",2013,NA,"TX",4502,"http:///under construction"
NA,"El Dorado","USA",NA,NA,"frc4503",NA,NA,NA,NA,"El Dorado High School","Wildcats","71730",2013,NA,"AR",4503,NA
NA,"Maryville","USA",NA,NA,"frc4504",NA,NA,NA,NA,"DENSO/Maryville City Schools/Alcoa City Schools/Blount County Schools/Northrop Grumman/Wells Fargo&Maryville High School","B. C. Robotics","37803",2013,"Maryville High School","Tennessee",4504,"https://www.bcrobotics4504.com"
NA,"Owings Mills","USA",NA,NA,"frc4505",NA,NA,NA,NA,"McDonogh School / Booz Allen Hamilton & Mcdonogh School","McDonogh Robotics","21117",2013,"Mcdonogh School","Maryland",4505,"http://www.mcdonogh.org/first/"
NA,"Saint Paul","USA",NA,NA,"frc4506",NA,NA,NA,NA,"3M/Rocheford Plastic Surgery/Microsoft Corporation&Hill-Murray School","PioNerds","55109",2013,"Hill-Murray School","Minnesota",4506,"http://www.firstinspires.org/"
NA,"Detroit","USA",NA,NA,"frc4507",NA,NA,NA,NA,"Google/Ford Motor Company/Toyota/McNaughton-McKay Electric Company/The Berg Family/Detroit And Downriver Area Robotics Alliance, Dadara/Gentherm/Michigan Engineering Zone -U of Mich","TARminators","48224",2013,"","Michigan",4507,"http:///Work in Process"
NA,"Schuylerville","USA",NA,NA,"frc4508",NA,NA,NA,NA,"FIRST Grants/Adirondack Trust Grant/Alfred Z. Solomon Charitable Trust/American Legion Old Saratoga Post 278/Stewart's Holiday Match/American Legion Mohican Post 553/Stonebridge Iron & Steel/DK Machine /Adam Corporation/Quad Graphics/Turner Construction/Subway - Schuylerville New York&Family/Community","Steel Stallions","12871",2013,"Family/Community","New York",4508,"http://scsrobotics4508.wixsite.com/frcteam4508"
NA,"Sugar Hill","USA",NA,NA,"frc4509",NA,NA,NA,NA,"State Farm IT/Nordson/Gwinnett County Public Schools&Lanier High School","Mechanical Bulls","30518",2013,"Lanier High School","Georgia",4509,"http://first.lanierhs.org"
NA,"715 North Third Street","USA",NA,NA,"frc4510",NA,NA,NA,NA,"jcpenney & Dooly County High School","Bobcats","31092",2013,NA,"GA",4510,NA
NA,"Plymouth","USA",NA,NA,"frc4511",NA,NA,NA,NA,"Providence Academy","Power Amplified","55446",2013,"Providence Academy","Minnesota",4511,"http://www.firstinspires.org/"
NA,"Everett","USA",NA,NA,"frc4512",NA,NA,NA,NA,"Boeing/OSPI/Everett School District/Bruin Community Parents/Crane Aerospace & Electronics/SPEEA/Barclay Dean/Safeway/Albertsons&Cascade High School","Otter Chaos","98203",2013,"Cascade High School","Washington",4512,"http://www.otterchaos4512.com"
NA,"Medical Lake","USA",NA,NA,"frc4513",NA,NA,NA,NA,"Washington State OSPI/DODEA/DODEA STEM/Boeing/FIRST Washington/Bixby Machine Tool Supply/Pizza Factory/American Steel Corporation/2nd BioScience/Medical Lake Dollars for Scholars/Medical Lake School District/West Plains Angels&Medical Lake High School","Circuit Breakers","99022",2013,"Medical Lake High School","Washington",4513,"http://www.medicallakerobotics.com"
