"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Minneapolis","USA",NA,NA,"frc2500",NA,NA,NA,NA,"Coloplast/Boston Scientific/General Mills/Medtronic/GAF/The Bakken Museum/Seagate/St. Thomas University/NASA/L.B. Carlson, LLP/FIRST Upper Midwest/Shingle Creek Neighborhood Association/Minneapolis Public Schools/Install This Sign and Awning Co./Patrick Henry High School Foundation/Girl Scouts of Minnesota and Wisconsin River Valleys/Patrick Henry High School Booster Club/Dunwoody College of Technology/Big Bob's Flooring Outlet/Siwek Lumber/Ajax Metal Forming Solutions/Thirsty Whale Bakery/Minneapolis Urban Robotics Alliance &Henry High School","Herobotics","55412",2008,"Henry High School","Minnesota",2500,"http://www.herobotics.org/"
NA,"North St. Paul","USA",NA,NA,"frc2501",NA,NA,NA,NA,"3M/Tolerance Tool/Boston Scientific/City of Maplewood & North High School","Bionic Polars","55109",2008,"North High School","Minnesota",2501,"http:///www.team2501.com"
NA,"Eden Prairie","USA",NA,NA,"frc2502",NA,NA,NA,NA,"Continental Engineering &  Manufacturing (CEM)/MTS Systems Corporation/Eaton/Beckman Coulter Foundation & Eden Prairie High School","Talon Robotics","55346",2008,"Eden Prairie High School","Minnesota",2502,"http://team2502.com/"
NA,"Brainerd","USA",NA,NA,"frc2503",NA,NA,NA,NA,"3M / Maxbotix / Precision Tool Technologies Inc. / Central Lakes College / Brainerd Lakes Area Businesses & Brainerd High School N Campus","Warrior Robotics","56401",2008,"Brainerd High School N Campus","Minnesota",2503,"http://team2503.com"
NA,"Honolulu","USA",NA,NA,"frc2504",NA,NA,NA,NA,"National Defense Education Program(NDEP) / Pearl Harbor Naval Shipyard / Monsanto / BAE SYSTEMS / Industrial Electronics / KenKay Machine Co. / Farrington Alumni and Community Foundation / McDonalds of Hawaii / Friends of Hawaii Robotics & Gov Wallace R Farrington HS","The Governors","96817",2008,"Gov Wallace R Farrington HS","Hawaii",2504,"http://www.farringtonrobotics.com/"
NA,"Toronto","Canada",NA,NA,"frc2505",NA,NA,NA,NA,"Don Mills Collegiate Institute & Georges Vanier S.S. & Toronto District School Board","The Electric Sheep","M3C 1X6",2008,NA,"ON",2505,NA
NA,"Franklin","USA",NA,NA,"frc2506",NA,NA,NA,NA,"Regal Rexnord/Henkel/GE Healthcare/Alliance/Johnson Controls&Franklin High School","Saber Robotics","53132",2008,"Franklin High School","Wisconsin",2506,"http://saberrobotics.org"
NA,"Stillwater","USA",NA,NA,"frc2508",NA,NA,NA,NA,"3M / Anderson Windows / Delta Modtech / Automation Inc. & Stillwater Area High School","Armada","55082",2008,"Stillwater Area High School","Minnesota",2508,"http://www.frc2508.org"
NA,"Hutchinson ","USA",NA,NA,"frc2509",NA,NA,NA,NA,"3M&Hutchinson High School","Tigerbots","55350",2008,"Hutchinson High School","Minnesota",2509,"https://sites.google.com/a/isd423.org/frc2509/"
NA,"Cloquet","USA",NA,NA,"frc2510",NA,NA,NA,NA,"University of Minnesota -Twin Cities - & Albrook School & Cloquet School District & fond du lac ojibwe school","anishinaabe","55720",2008,NA,"MN",2510,"http://www.freewebs.com/yayrobots"
NA,"Lakeville","USA",NA,NA,"frc2511",NA,NA,NA,NA,"St. Jude Medical/EAC Product Development Solutions/PTC & Lakeville South High School","Cougars","55044",2008,"Lakeville South High School","Minnesota",2511,"http://team2511.com"
NA,"Duluth","USA",NA,NA,"frc2512",NA,NA,NA,NA,"ISD 709/Tricel Honeycomb/Saturn Systems/Lake Superior Consulting/Minnesota Power/National Bank of Commerce/Kiwanis of Friendly Duluth/Krech Ojard & Associates Inc./Hammerhead Attachments/Altec/Minnesota Coaches&Duluth East High School","Duluth East Daredevils","55804",2008,"Duluth East High School","Minnesota",2512,"http://www.daredevils2512.org"
NA,"Minneapolis","USA",NA,NA,"frc2513",NA,NA,NA,NA,"Graco&Edison High School","T.E.R.T.O.L.A.","55418",2008,"Edison High School","Minnesota",2513,"http://www.tertola.com"
NA,"Mahtomedi","USA",NA,NA,"frc2514",NA,NA,NA,NA,"3M & Mahtonedi High School","3M MHS","55115",2008,NA,"MN",2514,NA
NA,"Marshall","USA",NA,NA,"frc2515",NA,NA,NA,NA,"Bayer Fund/BH Electronics, Inc./Nextera Energy/Action Trackchair/US Bank Corp/The Computerman Inc. & Marshall High School","Marshall Robotics and Engineering","56258",2008,"Marshall High School","Minnesota",2515,"http://www.2515tigerbots.com"
NA,"Vancouver","USA",NA,NA,"frc2517",NA,NA,NA,NA,"U.S. Digital/The Boeing Company/Rockwell Collins/OctoberBest Regional High-Tech Show & HERITAGE HIGH SCHOOL","Green Wrenches","98684",2008,NA,"WA",2517,"http://evergreenrobotics.org/"
NA,"Inver Grove Heights","USA",NA,NA,"frc2518",NA,NA,NA,NA,"Abbott/3M & Simley High School","Spartan Robotics","55076",2008,"Simley High School","Minnesota",2518,"http://www.first2518.weebly.com"
