"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Long Beach","USA",NA,NA,"frc5500",NA,NA,NA,NA,"Juan Rodrigues Cabrillo HS","Jaguars Robotics & ROVs","90810",2015,"Juan Rodrigues Cabrillo HS","California",5500,"http://www.firstinspires.org/"
NA,"Burr Oak","USA",NA,NA,"frc5501",NA,NA,NA,NA,"Burr Oak High School / Abbott / Bayer / Burr Oak Tool & Burr Oak Cmty School","Bobcats","49030",2015,"Burr Oak Cmty School","Michigan",5501,"http://www.firstinspires.org/"
NA,"Jonesville","USA",NA,NA,"frc5502",NA,NA,NA,NA,"Cobra Motorcycle Mfg/Mr Rooter/OrbitForm/Rotary Club/StockHouse Printing/Solidworks/Martinrea LLC/County National Bank/Lions Club&Jonesville High School","Cobrots","49242",2015,"Jonesville High School","Michigan",5502,"http:///www.jonesvillerobotics.com"
NA,"Smithville","USA",NA,NA,"frc5503",NA,NA,NA,NA,"Lockheed-Martin/National Instruments/Qualcomm/DV Laserworks/ NASA/Smithville Noon Lions Club/FIRST in Texas/TEXAS WORKFORCE COMMISSION&Smithville High School","Smithville Tiger Trons","78957",2015,"Smithville High School","Texas",5503,"http://www.firstinspires.org/"
NA,"Pinconning ","USA",NA,NA,"frc5504",NA,NA,NA,NA,"Pinconning Middle High School","The Loose Connections","48650",2015,"Pinconning Middle High School","Michigan",5504,"http://www.firstinspires.org/"
NA,"Alpena","USA",NA,NA,"frc5505",NA,NA,NA,NA,"Alpena County Youth and Recreation Board/Employment Services, Inc./LaFarge-Holcim /Kettering Alumni Association/Besser Company&Alpena High School","Volts Squared","49707",2015,"Alpena High School","Michigan",5505,"http://www.firstinspires.org/"
NA,"Searsport","USA",NA,NA,"frc5506",NA,NA,NA,NA,"RSU #20 / Robotics Institute of Maine / GitHub / Gabe Baker / Greg's Auto Sales & Searsport Middle High School","Midcoast MAINEiacs Robotics Team","04974",2015,"Searsport Middle High School","Maine",5506,"http:///www.midcoastmaineiacs.org"
NA,"San Francisco","USA",NA,NA,"frc5507",NA,NA,NA,NA,"NASA&George Washington High School","Robotic Eagles","94121",2015,"George Washington High School","California",5507,"http://www.team5507.com"
NA,"Knoxville","USA",NA,NA,"frc5508",NA,NA,NA,NA,"Bechtel/Arconic&Family/Community","Wolfbots","37914",2015,"Family/Community","Tennessee",5508,"http://www.firstinspires.org/"
NA,"Midland","USA",NA,NA,"frc5509",NA,NA,NA,NA,"Dow Chemical/Gerstacker Foundation/MDE Grant/FIRST GLBR/CPI Fluid Engineering/Nexteer Automotive/Fisher Contracting/Kelly Rowley Family Foundation/Three Rivers Corporation/Omni Tech/Johnston Contracting/Midland Steel&Midland High School","Like a Boss","48642",2015,"Midland High School","Michigan",5509,"https://sites.google.com/midlandps.org/mhsrobotics"
NA,"Los Angeles","USA",NA,NA,"frc5510",NA,NA,NA,NA,"Lockheed Martin / Northrop Grumman / Spin Master / Family Industries / Erector by Meccano / Kinetic Lighting & Alexander Hamilton Sr High Sch","The Da Vinci Coders","90034",2015,"Alexander Hamilton Sr High Sch","California",5510,"http://team5510.weebly.com"
NA,"Cary","USA",NA,NA,"frc5511",NA,NA,NA,NA,"John Deere/TE Connectivity/Dell/ADR Hydrocut/IBM/Pentair&Cortechs Robotics","Cortechs Robotics","27519",2015,"Cortechs Robotics","North Carolina",5511,"http://www.cortechsrobotics.com"
NA,"Recoleta","Chile",NA,NA,"frc5512",NA,NA,NA,NA,"Municipalidad de Recoleta/Corporación Cultural de Recoleta/Casillas CargoSud/Fundación Prosegur/Rotatecno Chile/Robotics Lab SCL/Ministerio de Educación - Programa Inglés Abre Puertas/Microsoft Chile/TACH Ingeniería/Instituto Chileno Norteamericano - American Spaces/U.S. Embassy Santiago & Liceo Valentín Letelier & Centro Cultural y Juvenil de Tecnología y Robótica Educativa Aplicada STEM ACADEMY CHILE","Pizza Mecánica","8420549",2015,"Centro Cultural y Juvenil de Tecnología y Robótica Educativa Aplicada STEM ACADEMY CHILE & Liceo Valentín Letelier","Región Metropolitana de Santiago",5512,"http://www.stemacademy.cl/"
NA,"North Hills","USA",NA,NA,"frc5513",NA,NA,NA,NA,"NASA & JAMES MONROE HIGH","Monroe Robotics","91343",2015,NA,"CA",5513,"http:///monroeengineering.org"
NA,"Carlsbad","USA",NA,NA,"frc5514",NA,NA,NA,NA,"Nordson/Anonymous LCC Supporting Family/Google/Qualcomm/Fine Technology Solutions/VMC Machine/San Dieguito Union High School District/La Costa Canyon High School Foundation/NASA&La Costa Canyon High School","LCC MavBots","92009",2015,"La Costa Canyon High School","California",5514,"http://lccrobotics.org/"
NA,"Shanghai","China",NA,NA,"frc5515",NA,NA,NA,NA,"Novelis , Inc./Autodesk, Inc./Beijing Sineva Co., Ltd./iFlyTech Co., Ltd./Maisui Maker Space Co., Ltd./Jiangsu Josun Air Conditioner Co., Ltd./Turing Robot Co., Ltd./Roboterra, Inc./Blue Lemon Trade & Business Co., Ltd./Home Think Science & Technology Co., Ltd.&High School affiliated to Shanghai Jiao Tong University&China Urban Youth Robotic Alliance&Shenzhen DADALELE Culture Communication Co., LTD ","Blue Power Robotics","200439",2015,"High School affiliated to Shanghai Jiao Tong University & China Urban Youth Robotic Alliance & Shenzhen DADALELE Culture Communication Co., LTD","Shanghai",5515,"https://www.team5515.com"
NA,"Shenzhen","China",NA,NA,"frc5516",NA,NA,NA,NA,"深圳数码模汽车技术有限公司/深圳市億和精密科技集團有限公司/搭搭乐乐/Dual Smart Multi-function Kitchen Appliance/DJI innovation/Fujica深圳市富士智能系统有限公司&Shenzhen(Nanshan)Concord College of Sino-Canada","Iron Maple","518000",2015,"Shenzhen(Nanshan)Concord College of Sino-Canada","Guangdong",5516,"https://www.FRC5516.com"
NA,"Burton","USA",NA,NA,"frc5517",NA,NA,NA,NA,"Bosch / Jabil / FIRST in Michigan / Transportation Inc / Busch Family / Mid State Bolt and Screw / Michigan.gov & Madison Academy High School","The Engineers on Fire","48519",2015,"Madison Academy High School","Michigan",5517,"https://sites.google.com/view/frc5517"
NA,"Apex","USA",NA,NA,"frc5518",NA,NA,NA,NA,"Techno Wolves Robotics Booster Club / Ingenuitas / Qualcomm / Solidworks & Wake Ncsu STEM Early Clg HS","Techno Wolves","27539",2015,"Wake Ncsu STEM Early Clg HS","North Carolina",5518,"http://www.technowolves.org/"
NA,"Brampton","Canada",NA,NA,"frc5519",NA,NA,NA,NA,"Peel District School Board/FIRST Canada/FIRST Robotics/Friends & Family&Louise Arbour","LASS Robotics","L6W0A2",2015,"Louise Arbour","Ontario",5519,"http:///www.lassrobotics.com"
NA,"Henrico","USA",NA,NA,"frc5520",NA,NA,NA,NA,"NASA/PTC & Henrico County 4-H","Duck and Cover","23231",2015,NA,"Virginia",5520,"http:///www.duckandcover7037.org"
NA,"SOPO","Colombia",NA,NA,"frc5521",NA,NA,NA,NA,"Municipio de Sopó & Technological Training School & Robotics club","WOLF TEAM ROBOTICS","251001",2015,NA,"Cundinamarca",5521,"http:///NP"
NA,"Shenzhen ","China",NA,NA,"frc5522",NA,NA,NA,NA,"Shenzhen DADALELE Culture Communication Co., LTD  & Shenzhen high school of  science","Stargazer","518000",2015,"Shenzhen DADALELE Culture Communication Co., LTD & Shenzhen high school of  science","Guangdong",5522,"http://frc5522.com/"
NA,"Grass Lake","USA",NA,NA,"frc5523",NA,NA,NA,NA,"Main and Company/Otava/Grass Lake Schools/Walz Fabrication/Solid Manufacturing/PDF Manufacturing/Simon Building Company/Franks Shop-Rite/DJ Productions/Dick and Diane Fowler/Jodi Rought/Stone's 1 Stop Auto Shop/Centennial Dental Lab/Edward Jones/Kia of Jackson/Joe (Kia) Genco&Grass Lake High School","Redneck RoboWarriors","49240",2015,"Grass Lake High School","Michigan",5523,"http://www.firstinspires.org/"
NA,"Birch Run","USA",NA,NA,"frc5524",NA,NA,NA,NA,"Michigan Department of Education /Nexteer/J Ranck Electric /Dow /Toyota/Meijer of Birch Run/Joe Zachary &Birch Run High School","MacroProcessors ","48415",2015,"Birch Run High School","Michigan",5524,"http://www.firstinspires.org/"
NA,"Lincoln","USA",NA,NA,"frc5525",NA,NA,NA,NA,"Employment Services Inc./Kalitta Air/Alpena Community College/Knights of Columbus Alcona Council #4235/Lincoln Chapter EOS 184/Northern Precision/Solid Works/MDE/FIRST in Michigan/WGBenjey/Omega Electric & Alcona Middle High School","Alcona Tool Cats","48742",2015,"Alcona Middle High School","Michigan",5525,"http://toolcats5525.wix.com/alconaschools"
NA,"Torreon","Mexico",NA,NA,"frc5526",NA,NA,NA,NA,"Peñoles&Colegio Americano de Torreon","Peñoles - TCATs","27019",2015,"Colegio Americano de Torreon","Coahuila",5526,"https://www.tcats5526.com"
NA,"Flint","USA",NA,NA,"frc5527",NA,NA,NA,NA,"International Academy of Flint","Cyber Phoenix","48503",2015,"International Academy of Flint","Michigan",5527,"http:///iaf-sabis.net"
NA,"Trois-Rivieres","Canada",NA,NA,"frc5528",NA,NA,NA,NA,"Novo/AGT robotique/Collège Laflèche/Fondation Keranna/école d'ingénierie UQTR/Neksys/Canadian Tire/Nitek /CEGEP de Trois-Rivières/BMR Pierre Naud/Fastenal/Député Jean Boulet/Député Simon Allaire/Omnimedia&Institut Secondaire Keranna","Ultime Novo","G8Y 6Z1",2015,"Institut Secondaire Keranna","Québec",5528,"http://www.ultime5528.com"
NA,"Visalia","USA",NA,NA,"frc5529",NA,NA,NA,NA,"NASA/Brin Wojcicki Foundation /Visalia Unified School District/PTC & EL DIAMANTE HIGH","Visalia Vanquishers","93277",2015,NA,"CA",5529,NA
NA,"Ann Arbor","USA",NA,NA,"frc5530",NA,NA,NA,NA,"Ford/Greenhills School/Chrysan&Greenhills School","The Greenhills Lawnmowers","48105",2015,"Greenhills School","Michigan",5530,"http://ghlawnmowers.org"
NA,"Dearborn","USA",NA,NA,"frc5531",NA,NA,NA,NA,"Ford Motor & Dearborn High School","Orange Crush","48124",2015,"Dearborn High School","Michigan",5531,"http://www.firstinspires.org/"
NA,"Detroit","USA",NA,NA,"frc5532",NA,NA,NA,NA,"University Prep Academy HS","The G.O.A.T.S","48202",2015,"University Prep Academy HS","Michigan",5532,"http://www.firstinspires.org/"
NA,"Clio","USA",NA,NA,"frc5533",NA,NA,NA,NA,"&Clio High School","Electric Horse Power","48420",2015,"Clio High School","Michigan",5533,NA
NA,"Onaway","USA",NA,NA,"frc5534",NA,NA,NA,NA,"Moran Iron Works & IAI (Industrial Arts Institute)/Republic Services (Elk Run Land Fill)/Village Corner Store (Exxon Mobil)/PIE&G CO-OP/Master Potter and Flint Institute of Art Instructor Guy Adamec/Mr & Mrs. Carl Anderson Family/Maple Ridge Hardwoods, INC./Pepsi & Onaway Secondary School","Onaway Onabots","49765",2015,"Onaway Secondary School","Michigan",5534,"http://www.onawayschools.com/?DivisionID=7877&DepartmentID=27922&SubDepartmentID=12855"
NA,"New Buffalo","USA",NA,NA,"frc5535",NA,NA,NA,NA,"Edgewater Automation/Creative Manufacturing/Konrady Plastics/Art & Image/Barnum/Cenifax&New Buffalo High School","Bionic Bison","49117",2015,"New Buffalo High School","Michigan",5535,"http://team5535.weebly.com"
NA,"Albany","USA",NA,NA,"frc5536",NA,NA,NA,NA,"Engineering Preparatory Academy Albany Technical College / Motorola Solutions Foundation & THE TITAN ALLIANCE","Titan Alliance","31701",2015,"THE TITAN ALLIANCE","Georgia",5536,"http:///www.titanrobotics.us"
NA,"Fairfield","USA",NA,NA,"frc5537",NA,NA,NA,NA,"MAHARISHI SCHOOL OF ENLIGHTENMENT","Dia and the Brobots feat. J-Kwelin","52556",2015,NA,"Iowa",5537,NA
NA,"Saginaw","USA",NA,NA,"frc5538",NA,NA,NA,NA,"First in the Great Lakes Bay Region/Dow Chemical/Nexteer/Michigan Department of Education/Saginaw Engineering and Control/Glastender/Fullerton Tool Company Inc./FB Wright/Riverbend Self Storage&Swan Valley High School","Vikingbots","48609",2015,"Swan Valley High School","Michigan",5538,"http://svhsrobotics.weebly.com/"
NA,"Tucson","USA",NA,NA,"frc5539",NA,NA,NA,NA,"Desert View High School","DVHS Cyborgs","85706",2015,"Desert View High School","Arizona",5539,"http://www.firstinspires.org/"
NA,"Los Angeles","USA",NA,NA,"frc5540",NA,NA,NA,NA,"Abraham Lincoln Senior High","Lincoln High School Tigers","90031",2015,NA,"California",5540,"http:///www.alhsrobotics.webs.com"
NA,"Shakopee","USA",NA,NA,"frc5541",NA,NA,NA,NA,"Amazon Fulfillment / Emerson / Bayer / Entrust Datacard / KEB / TORO & Shakopee Senior High School","Shakopee Robotics","55379",2015,"Shakopee Senior High School","Minnesota",5541,"http:///www.shakopeerobotics.org"
NA,"Buffalo","USA",NA,NA,"frc5542",NA,NA,NA,NA,"Mike Miller Trucking/TE Connectivity&Buffalo High School","RoboHerd","55313",2015,"Buffalo High School","Minnesota",5542,"https://www.roboherd5542.com"
NA,"Greensboro","USA",NA,NA,"frc5543",NA,NA,NA,NA,"MINTTZ & E3 Robotics ","M.I.N.T.T.Z - Mechanically Insane Nerdy Tech Teenz","27405",2015,NA,"North Carolina",5543,NA
NA,"Vass","USA",NA,NA,"frc5544",NA,NA,NA,NA,"FIRST FRC/St. Anthony of Padua Catholic Church/Novetta Technology/St. Luke Medical Services&SWIFT Robotics Youth Club","SWIFT Robotics","28394",2015,"SWIFT Robotics Youth Club","North Carolina",5544,"http://Swiftrobotics.net"
NA,"concord","USA",NA,NA,"frc5545",NA,NA,NA,NA,"Piedmont District","PiedmontSTEM","24538",2015,NA,"VA",5545,NA
NA,"Petersburg","USA",NA,NA,"frc5546",NA,NA,NA,NA,"Society of American Military Engineers / Leebcor Services / Summit Information Solutions / Bill Sandidge / Virginia State University College of Engineering and Technology / Adobe / Kevin Primm / BluePrint Automation / Hopewell Moose Family Center 1472 / Waste Management & Appomattox Reg Gov School","⚒️ A.R.T. ⚒️","23803",2015,"Appomattox Reg Gov School","Virginia",5546,"https://argsrobotics.com"
NA,"Hale","USA",NA,NA,"frc5547",NA,NA,NA,NA,"Hale Area Robotics/Wilson Trucking and Excavating of Hale/MiSensibleIT/Alward's Market of Hale&Hale High School","The Talons","48739",2015,"Hale High School","Michigan",5547,"http://www.firstinspires.org/"
NA,"Yukon","USA",NA,NA,"frc5548",NA,NA,NA,NA,"Yukon Hs","Psi Factor","73099",2015,NA,"Oklahoma",5548,"http://www.firstinspires.org/"
NA,"Falls Church","USA",NA,NA,"frc5549",NA,NA,NA,NA,"Maximum Engineering/Kform/Nova Labs/Lockheed Martin/Booz Allen Hamilton/Solidworks/KeyShot/NV Coatings/The Association for Manufacturing Technology/General Dynamics/UBS Warburg/Nvidia/Cougaar Software/SideTrak&Marshall High School","Gryphon Robotics","22043",2015,"Marshall High School","Virginia",5549,"https://www.frc5549.org/"
NA,"Bethany","USA",NA,NA,"frc5550",NA,NA,NA,NA,"G & A  Lance Trust/DoD Stem/EduSkills&Bethany High School","BRONChO BOTS","73008",2015,"Bethany High School","Oklahoma",5550,"http://www.firstinspires.org/"
NA,"Memphis","USA",NA,NA,"frc5551",NA,NA,NA,NA,"Team 5551","Harding Revolution","38117",2015,"","Tennessee",5551,"http://www.firstinspires.org/"
NA,"Green Bay","USA",NA,NA,"frc5552",NA,NA,NA,NA,"Proto, Inc & 2016 Hardship Grant","SENSORED","54302",2015,"Proto, Inc","Wisconsin",5552,"http:///www.sensored5552.com"
NA,"Neuville-sur-Saône","France",NA,NA,"frc5553",NA,NA,NA,NA,"Groupe NOËL/SDRA/Immobilière Notre Dame de Bellegarde/Lions Club/TraceParts/RS Components/Mairie de Collonges au Mont d'Or/MAHP/BBL GROUPE/ROTARY/Groupe KARDOL/CIC/ELCIA/SOLMUREX/MGA TECHNOLOGIES/BCM/La French Fab/Embassy Suites Chicago Downtown /L'Épi Fleuri&Notre Dame de Bellegarde","Robo'Lyon","69250",2015,"Notre Dame de Bellegarde","Rhône",5553,"http://www.robolyon.com"
NA,"Netanya","Israel",NA,NA,"frc5554",NA,NA,NA,NA,"Ort Yad Leibowitz/ORT Netanya Residential Educational Campus/Motorola Solutions/Eyal Segal & Ort Yad Leibowitz","The Poros Robotics","4237734",2015,"Ort Yad Leibowitz","HaMerkaz",5554,"https://www.theporosrobotics5554.org"
NA,"Warren","USA",NA,NA,"frc5555",NA,NA,NA,NA,"Bosch Community Fund / Department of Defense DoD STEM / Fitzgerald Public Schools / Faurecia & Fitzgerald High School","Spartans","48091",2015,"Fitzgerald High School","Michigan",5555,"http://www.spartans5555.com/"
NA,"Amesbury","USA",NA,NA,"frc5556",NA,NA,NA,NA,"Analog Devices/Merrimac Tool Company&Amesbury High School&Sparhawk School","Carriagetown Robotics","01913",2015,"Sparhawk School & Amesbury High School","Massachusetts",5556,"http://www.firstinspires.org/"
NA,"Miami","USA",NA,NA,"frc5557",NA,NA,NA,NA,"NASA/MaverixLab/American Capital Advisors Group/Access Builders/State of Florida & Gulliver Preparatory School","BB-R8ERS","33156",2015,"Gulliver Preparatory School","Florida",5557,"https://team5557.org"
NA,"Bursa","Turkey",NA,NA,"frc5558",NA,NA,NA,NA,"Sahinkaya College","Ad Astra","16300",2015,"Sahinkaya College","Bursa",5558,"http:///www.frcadastra.com"
NA,"Camden","USA",NA,NA,"frc5559",NA,NA,NA,NA,"Camden-Frontier School","Gear Grinders","49232",2015,"Camden-Frontier School","Michigan",5559,"http:///www.camdenfrontierrobotics.org"
NA,"Central Lake","USA",NA,NA,"frc5560",NA,NA,NA,NA,"Chris Corbett / EJ / Dayton Lamina / Armour Express / SMC / Mortensen Funeral Home / Central Lake Public Schools & Central Lake Mid High School","Central Lake Trobotics","49622",2015,"Central Lake Mid High School","Michigan",5560,"http://www.firstinspires.org/"
NA,"Flushing","USA",NA,NA,"frc5561",NA,NA,NA,NA,"Flushing Community Schools/Future Engineering/PLEX&Flushing Senior High School","Raider Robotics","48433",2015,"Flushing Senior High School","Michigan",5561,"https://sites.google.com/view/frc5561/home"
NA,"Maple City","USA",NA,NA,"frc5562",NA,NA,NA,NA,"General Motors Customer Care and Aftersales/Thompson Racing Fabrication/Siemens/Glen Lake Community Schools/TriMet Industries, Inc./FRC Sustainability – Argosy&Glen Lake Secondary School","Laker Logistics","49664",2015,"Glen Lake Secondary School","Michigan",5562,"http://www.glenlakeschools.org/news-events/extracurriculars/team-5562-laker-logistics-first-high-school-robotics.html"
NA,"Lynn","USA",NA,NA,"frc5563",NA,NA,NA,NA,"GE Aviation & St Mary's High School","Phalanx","01902",2015,"St Mary's High School","Massachusetts",5563,"http://stmaryslynn.com/FIRST"
NA,"Granville","Australia",NA,NA,"frc5564",NA,NA,NA,NA,"Granville Boys High School","GRANBOTS","2142",2015,"Granville Boys High School","New South Wales",5564,"http://www.firstinspires.org/"
NA,"Auburn","Australia",NA,NA,"frc5565",NA,NA,NA,NA,"Auburn Girls High School","Auburn Girls","2144",2015,"Auburn Girls High School","New South Wales",5565,"http://www.firstinspires.org/"
NA,"Sugar Land ","USA",NA,NA,"frc5566",NA,NA,NA,NA,"Sugar Rush & Clements H S","Sugar Rush","77479",2015,NA,"Texas",5566,"http:///www.innoventiverobotics.org"
NA,"Milan","USA",NA,NA,"frc5567",NA,NA,NA,NA,"Bosch /The Greater Milan Area Community Foundation/CRH Americas&Milan High School","Code Red Robotics ","48160",2015,"Milan High School","Michigan",5567,"http://www.firstinspires.org/"
NA,"Bentonville","USA",NA,NA,"frc5568",NA,NA,NA,NA,"Precision Compacting Technologies/Harrison French Associates/Ozark Fluid Power/RDT Drafting & Design/Kewlahta&Bentonville High School&Rogers High School&Life Way Christian School&Pea Ridge Manuf & Bus Acad","Solid Rock ","72712",2015,"Pea Ridge Manuf & Bus Acad & Rogers High School & Life Way Christian School & Bentonville High School","Arkansas",5568,"http:///www.frc5568.com"
NA,"Washington","USA",NA,NA,"frc5569",NA,NA,NA,NA,"Team 5569","Tech Titans","20032",2015,"","District of Columbia",5569,"http://www.firstinspires.org/"
NA,"Montréal","Canada",NA,NA,"frc5570",NA,NA,NA,NA,"Fusion Jeunesse/Polytechnique/CAE/NANUK/Proto Concept Inc.&Académie de Roberval","Ookpik","H2E 1R9",2015,"Académie de Roberval","Québec",5570,"http://www.firstinspires.org/"
NA,"Knoxville","USA",NA,NA,"frc5571",NA,NA,NA,NA,"Knox County Schools / CNS / TVA / TSPE / ALCOA / Pitts & Lake / Bertelkamp Automation / USI Motors / Blaze Pizza / Kendall Electric / Carlex Glass / AIS / Marcos Pizza / AMS / MDF / IEEE / TN FIRST & Bearden High School","RATCHET","37919",2015,NA,"Tennessee",5571,"http://www.firstinspires.org/"
NA,"San Antonio","USA",NA,NA,"frc5572",NA,NA,NA,NA,"Apple Inc./Lockheed Martin Corporation/NASA/Texas Workforce Commission/National Instruments/Westbrooke Metals/USAA/Vortex CHC LLC/Balanced Site Design/Cruisin' Kitchens/North East I.S.D. STEM Academy&Legacy of Educl Excellence HS","Rosbot 5572","78213",2015,"Legacy of Educl Excellence HS","Texas",5572,"http://www.frc5572.org"
NA,"Ivanhoe","Australia",NA,NA,"frc5573",NA,NA,NA,NA,"Macquarie University/FIRST Team 3132 & Ivanhoe Central School","Ivanhoe","2878",2015,"Ivanhoe Central School","New South Wales",5573,"http://www.firstinspires.org/"
NA,"Grand Rapids","USA",NA,NA,"frc5574",NA,NA,NA,NA,"Steelcase/Consumer's Energy & Grand Rapids University Preparatory Academy","P.A.N.T.H.E.R.S.","49503",2015,"Grand Rapids University Preparatory Academy","Michigan",5574,"http://www.firstinspires.org/"
NA,"Boyne Falls","USA",NA,NA,"frc5575",NA,NA,NA,NA,"Big E's  Smoke Shack / Whi-Ski Inn / Northwest Hydraulics & Engineering INC. / Meijer / Matelski Lumber / Truck & Trailer Specialties of Boyne Falls, Inc. / Art's Auto & Truck Parts Inc. / Valley Truck Parts / Traditional Truck Service / Zaremba Equipment Inc. / AIS Construction Equipment / Petoskey Plastics   & Boyne Falls Public School","SHOCK","49713",2015,NA,"Michigan",5575,"http:///www,boynefallsshock.com"
