"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Dorr","USA",NA,NA,"frc2000",NA,NA,NA,NA,"Williams Tooling & Manufacturing/Electrocal/U.S. Engineering/Van Den Berge Pest Control/STM Manufacturing/A-1 Used Mowers/Stefftech V5/New Salem Corn Maze/Ed Koehn Ford Wayland/Spartan Graphics/Custom Engraving/Acclaimed Catering/Dershem Wholesale/Bumper to Bumper Allegan/BC Pizza Dorr & 4-H Allegan Co MSU Extension","TEAM ROCK","49323",2007,NA,"MI",2000,"http://teamrockrobotics.com"
NA,"Kansas City","USA",NA,NA,"frc2001",NA,NA,NA,NA,"Hickman Mills School District / Best Buy / KC STEM Alliance & Ruskin High School","HERMES","64134",2007,"Ruskin High School","Missouri",2001,"http://www.eaglesrobotics.com"
NA,"Tualatin","USA",NA,NA,"frc2002",NA,NA,NA,NA,"Bentley Systems, Incorporated / The Boeing Company / Rockwell Collins / Mentor Graphics / Oregon Department of Education / Flir / Tigard Tualatin  School District / Innovation Academy & Tualatin High School","Tualatin Robotics","97062",2007,"Tualatin High School","Oregon",2002,"http://tualatinrobotics.com/"
NA,"Tulsa","USA",NA,NA,"frc2004",NA,NA,NA,NA,"Paragon Films/K & D Excavating/REA Corporation&Tulsa Technology Center","Thunderducks","74147",2007,"Tulsa Technology Center","Oklahoma",2004,"http://www.firstinspires.org/"
NA,"Kansas City","USA",NA,NA,"frc2005",NA,NA,NA,NA,"Ewing Marion Kauffman Foundation & Anderson High School","Aerobotechs","64104",2007,NA,"MO",2005,NA
NA,"Duluth","USA",NA,NA,"frc2007",NA,NA,NA,NA,"Nordson Corp./Automation Direct & Duluth High School & Gwinnett County Public Schools","Robots of the Round Table","30096",2007,NA,"GA",2007,"http:///duluthrobotics.org"
NA,"Kansas City","USA",NA,NA,"frc2008",NA,NA,NA,NA,"Ewing Marion Kauffman Foundation / KCPL / Honeywell KCP / KC BANCS & Northeast High School","VTEC","64124",2007,NA,"MO",2008,NA
NA,"Roxbury","USA",NA,NA,"frc2009",NA,NA,NA,NA,"Smith Family Foundation and New Mission High School","Robo-Titans","02120",2007,NA,"MA",2009,"http:///newmissionrobotics.blogspot.com"
NA,"Warren","USA",NA,NA,"frc2010",NA,NA,NA,NA,"Aptiv Corporation/Cleveland Communications&Champion High School","The Lightning Bots","44483",2007,"Champion High School","Ohio",2010,"http://www.chs-robotics.org"
NA,"Independence","USA",NA,NA,"frc2011",NA,NA,NA,NA,"Ewing Marion Kauffman Foundation & St. Mary's High School Bundschu Memorial","SMH Robotics","64050",2007,NA,"MO",2011,"http:///www.smhrobotics.com"
NA,"North Kansas City","USA",NA,NA,"frc2012",NA,NA,NA,NA,"North Kansas City Iron & Metal / Tech Gurus / Cummins Tools / Ewing Marion Kauffman Foundation & North Kansas City High School","@ Zenith","64116",2007,NA,"MO",2012,NA
NA,"Clearview Twp.","Canada",NA,NA,"frc2013",NA,NA,NA,NA,"MPC | Molded Precision Components/Linear Transfer Automation/JT Snowmobile/Inventure Engineering & Machinery Inc/Clearview Township/Honda of Canada Manufacturing/Stayner Lions Club/Stayner Kinsmen/Weld Experts & Family/Community","Cybergnomes","L0M 1S0",2007,"Family/Community","Ontario",2013,"http:///www.Cybergnomes2013.ca"
NA,"St. Louis","USA",NA,NA,"frc2014",NA,NA,NA,NA,"Boeing/General Motors Foundation & Hazelwood East High School","Spartans","63138",2007,NA,"MO",2014,"http:///www.spartanrobotics.net"
NA,"Holland","USA",NA,NA,"frc2015",NA,NA,NA,NA,"Aalderink Electric Co./Holland area Poker players/BAE Systems & Wavecrest Career Academy","Static shock","49423",2007,NA,"MI",2015,"http:///team2015robotics.com"
NA,"Ewing","USA",NA,NA,"frc2016",NA,NA,NA,NA,"Johnson & Johnson Consumer and Personal Products Worldwide/DOTC STEM Picatinny/National Defense Education Program/Ewing Township Education Association/Morris Millwork/NJM Insurance Group/Mercer County Improvement Authority (MCIA)&Ewing High School&New Jersey School for the Deaf","Mighty Monkey Wrenches","08618",2007,"New Jersey School for the Deaf & Ewing High School","New Jersey",2016,"http://www.goteam2016.com"
NA,"Etobicoke","Canada",NA,NA,"frc2017",NA,NA,NA,NA,"Michael Power-St. Joseph High School","Trojans","M9C 3Z7",2007,NA,"ON",2017,"http:///www.mpsj.ca/robotics/"
NA,"El Cajon","USA",NA,NA,"frc2019",NA,NA,NA,NA,"NASA/Qualcomm Incorporated & Chaparral High School","Robo Runners","92020-1187",2007,NA,"CA",2019,NA
NA,"Fredericksburg","USA",NA,NA,"frc2021",NA,NA,NA,NA,"Fredericksburg Academy","F.A.R. ","22408",2007,NA,"VA",2021,"http:///fredericksburgacademy.org"
NA,"Aurora","USA",NA,NA,"frc2022",NA,NA,NA,NA,"Caterpillar Inc/Gus Berthold Electric Co/Illinois Math and Science Academy&Illinois Math & Science Acad","Titan Robotics","60506",2007,"Illinois Math & Science Acad","Illinois",2022,"http://www.firstinspires.org/"
