"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Fort Lauderdale","USA",NA,NA,"frc7500",NA,NA,NA,NA,"Florida Power and Light/ABB/Motorola Solutions/Department of Defense&St Thomas Aquinas High School","MARAUDERS","33312",2019,"St Thomas Aquinas High School","Florida",7500,NA
NA,"Brooklyn","USA",NA,NA,"frc7501",NA,NA,NA,NA,"Quanta, Inc. / Absopure / John V. Butterfield Investments / Kelly Fuels / Matt D. Logan DDS & Columbia Central High School","Golden Gears","49230",2019,"Columbia Central High School","Michigan",7501,NA
NA,"Middlebury","USA",NA,NA,"frc7502",NA,NA,NA,NA,"NASA / Middlebury Community Schools & Northridge High School","CyberBuggies Northridge High School","46540",2019,"Northridge High School","Indiana",7502,NA
NA,"Frisco","USA",NA,NA,"frc7503",NA,NA,NA,NA,"NASA/Call-em-all/Port of Peri Peri/Improving Enterprises/Wisneski Family /Intuitive Foundation/Kohli Family/SMARTS Learning Center/Ganapathineedi Family/Vineet Gupta and Pooja Sangal/Sahoo Family/Sule Family/Fukumoto Family/Gooch Family/Rosa Su&Family/Community","Radicubs","75034",2019,"Family/Community","Texas",7503,"https://radicubs.wixsite.com/robotics"
NA,"Brewster","USA",NA,NA,"frc7504",NA,NA,NA,NA,"NASA/Danbury Walmart/Danbury Mission Technologies&Brewster High School","Cybearbots","10509",2019,"Brewster High School","New York",7504,NA
NA,"SHANGHAI","China",NA,NA,"frc7505",NA,NA,NA,NA,"Pu Yuan Education /Shanghai Jincheng College /Future Vision/Shanghai Concord Bilingual School/Shanghai Xinzhuang Middle School &Family/Community","PTU","200023",2019,"Family/Community","Shanghai",7505,NA
NA,"Arlington","USA",NA,NA,"frc7506",NA,NA,NA,NA,"MOUSER Electronics/SER Jobs for Progress National, Inc./NASA/Fiat Chrysler Automotive&Arlington ISD Dan Dipert Career and Technical Center","WILDCARDS","76010",2019,"Arlington ISD Dan Dipert Career and Technical Center","Texas",7506,NA
NA,"Karditsa","Greece",NA,NA,"frc7507",NA,NA,NA,NA,"1st General High School of Karditsa","Terminators Educational Robotics Team","43132",2019,"1st General High School of Karditsa","Thessalia",7507,"https://www.teamterminators.org/"
NA,"Temple","USA",NA,NA,"frc7508",NA,NA,NA,NA,"STartEM/Temple College&STartEM ","STartEM ","76501",2019,"STartEM ","Texas",7508,"http:///www.STartEM.org"
NA,"Brantford","Canada",NA,NA,"frc7509",NA,NA,NA,NA,"Aecon/Six Nations Polytechnic/McMaster University TA Union (CUPE 3906)/Rotary Club of Oakville/Grand Precision Machining Inc.&Six Nations Polytechnic STEAM Academy","Brainstorm Robotics","N3S7P5",2019,"Six Nations Polytechnic STEAM Academy","Ontario",7509,"https://team7509.ca"
NA,"Houston","USA",NA,NA,"frc7510",NA,NA,NA,NA,"Arundo Analytics & Spring Woods High School","Prowlers","77080",2019,"Spring Woods High School","Texas",7510,NA
NA,"Waco","USA",NA,NA,"frc7511",NA,NA,NA,NA,"Texas WorkForce Commission/2020 FRC Registration Gap Grant&Greater Waco Advanced Manufacturing Academy","GWAMA FRC Robotics","76703",2019,"Greater Waco Advanced Manufacturing Academy","Texas",7511,NA
NA,"Mobile","USA",NA,NA,"frc7512",NA,NA,NA,NA,"NASA Program Growth Grant / Argosy Foundation / FIRST in Alabama FRC Rookie Grant / Revelation Missionary Baptist Church / Gulf Electric Company, Inc. of Mobile & Williamson High School","Lions Bots","36609",2019,"Williamson High School","Alabama",7512,NA
NA,"Shenzhen","China",NA,NA,"frc7513",NA,NA,NA,NA,"Family/Community","Muskrat","518000",2019,"Family/Community","Guangdong",7513,"http:///frcmuskrat.com"
NA,"Atlanta","USA",NA,NA,"frc7514",NA,NA,NA,NA,"Johnson STEM Activity Center/FEDEX/Novelis/NASA/Urban Outsourcing/Dispersive Technologies/TDS Design/SWE (Society of Women Engineers) at Georgia Tech & Family/Community","EVE Robotics","30312",2019,"Family/Community","Georgia",7514,NA
NA,"Parkersburg","USA",NA,NA,"frc7515",NA,NA,NA,NA,"NASA/Toyota USA Foundation/Constellium&Wood County Voc Tech School","Dark Side Robotics","26101",2019,"Wood County Voc Tech School","West Virginia",7515,"http://www.darksiderobotics.com"
NA,"Louisville","USA",NA,NA,"frc7516",NA,NA,NA,NA,"The University of Louisville J. B.  Speed School of Engineering&Central HS Magnet Career Acad","Louisville Centrons","40203",2019,"Central HS Magnet Career Acad","Kentucky",7516,"http://gilbertsclass.com/"
NA,"Encino","USA",NA,NA,"frc7517",NA,NA,NA,NA,"Homenetmen ","Massis Robotics","91416",2019,"Homenetmen ","California",7517,NA
NA,"Houston","USA",NA,NA,"frc7518",NA,NA,NA,NA,"Margaret Long Wisdom High Sch","Generals FRC","77057",2019,"Margaret Long Wisdom High Sch","Texas",7518,NA
NA,"Clewiston","USA",NA,NA,"frc7519",NA,NA,NA,NA,"NASA/Karl E. Larsen/Clewiston HS School Advisory Committee/Clewiston High School/Tom Perry Family Foundation/Braunstein Enterprises LLC/Pepe Lopez / The Lopez Family/Clewiston Elks Lodge/ACE Hardware/Sunshine Family Medicine/Clewiston Rotary Club/FIRST&Clewiston High School","Silver Warriors","33440",2019,"Clewiston High School","Florida",7519,"https://clewistonrobotics.org"
NA,"Thornhill","Canada",NA,NA,"frc7520",NA,NA,NA,NA,"FIRST Canada & Team MineKee & North Toronto Community FIRST Robotics","Team MineKee","M2N5B2",2019,"North Toronto Community FIRST Robotics","Ontario",7520,"http://7520.ca"
NA,"Laredo","USA",NA,NA,"frc7521",NA,NA,NA,NA,"American Electric Power&United High School","ULTIMATE Robotics","78045",2019,"United High School","Texas",7521,NA
NA,"Shanghai","China",NA,NA,"frc7522",NA,NA,NA,NA,"Make 1 Robot/SIASUN/SolidWorks & Make1Robot & 21st Century Learning Center","Make 1 Robot","201203",2019,"21st Century Learning Center","Shanghai",7522,"http://www.team7522.com"
NA,"Centurion","South Africa",NA,NA,"frc7523",NA,NA,NA,NA,"CG Holdings/New Age Technologies/Prommac/Barker College/DOW Chemicals&SpringBots Robotics Club&Centurion Public Schools&AIDTEC","SpringBots","0154",2019,"AIDTEC & Centurion Public Schools & SpringBots Robotics Club","Gauteng",7523,NA
NA,"zhengzhou","China",NA,NA,"frc7524",NA,NA,NA,NA,"北京星瀚科技有限责任公司&ZhengZhou Youth Robotics Association","Regen",NA,2019,"ZhengZhou Youth Robotics Association","Henan",7524,"http://www.team7524.com/"
NA,"Nashville","USA",NA,NA,"frc7525",NA,NA,NA,NA,"Schneider Electric/DENSO/AllianceBernstein/Asurion /American Fabricators Inc.&Hume-Fogg Magnet High School&Martin L King Jr Magnet School&RePublic High School","Pioneers","37207",2019,"RePublic High School & Martin L King Jr Magnet School & Hume-Fogg Magnet High School","Tennessee",7525,"https://pioneers2.com/"
NA,"kaohsiung","Chinese Taipei",NA,NA,"frc7526",NA,NA,NA,NA,"MUNICIPAL KAOHSIUNG SENIOR HIGH SCHOOL","Welcome to team","80748",2019,"MUNICIPAL KAOHSIUNG SENIOR HIGH SCHOOL","Changhua",7526,NA
NA," Kaohsiung ","Chinese Taipei",NA,NA,"frc7527",NA,NA,NA,NA,"Kaohsiung Zhengxiu University of Science and Technology/Southern Science Park AI Manufacturer Base/Yuhuang Technology Co., Ltd./Tongyu Biological Technology Co., Ltd.&Zhongzheng Technical High School, Kaohsiung City, Taiwan","Kaohsiung power","80656",2019,"Zhongzheng Technical High School, Kaohsiung City, Taiwan","Kaohsiung Special Municipality",7527,"https://m.facebook.com/groups/1873035996332907"
NA,"Morgan Hill","USA",NA,NA,"frc7528",NA,NA,NA,NA,"NASA / Cisco / Nutanix / Live Oak High School & Live Oak High School","Nuts and Bolts","95037",2019,"Live Oak High School","California",7528,"https://liveoakrobotics.org/"
NA,"Shenzhen ","China",NA,NA,"frc7529",NA,NA,NA,NA,"United Technology Corporation/Shenzhen Children and Women Foundation/DADALELE  & China Girls United","Mulan","580200",2019,"China Girls United","Guangdong",7529,NA
NA,"Watertown","USA",NA,NA,"frc7530",NA,NA,NA,NA,"Nesvold Farms / Watertown Lions / Watertown Legion Post 121 & Watertown-Mayer High School","Brotherhood of Steel","55388",2019,"Watertown-Mayer High School","Minnesota",7530,NA
NA,"Dubuque","USA",NA,NA,"frc7531",NA,NA,NA,NA,"Foundation for Dubuque Schools/John Deere/NASA/Preston Werner Ventures/Hormel&Dubuque Senior High School&Dubuque Hempstead High School","Servos Strike Back","52002",2019,"Dubuque Hempstead High School & Dubuque Senior High School","Iowa",7531,"https://www.dbqrobotics.club/?i=1"
NA,"Winnipeg","Canada",NA,NA,"frc7532",NA,NA,NA,NA,"Lakeside&Garden City Collegiate","Gophertronics","R2V 0P7",2019,"Garden City Collegiate","Manitoba",7532,NA
NA,"El Paso","USA",NA,NA,"frc7533",NA,NA,NA,NA,"Bowie High School","OSO-TECH","79905",2019,"Bowie High School","Texas",7533,NA
NA,"Fort Worth","USA",NA,NA,"frc7534",NA,NA,NA,NA,"Southwest High School","Dragonflies","76133",2019,"Southwest High School","Texas",7534,NA
NA,"Arlington","USA",NA,NA,"frc7535",NA,NA,NA,NA,"Ericsson/Abbott/Mouser Electronics/Texas Workforce Commission/Kruvand Associates, Inc.&Uplift Summit Int'L Prep CS","Purple Poison 7535","76011",2019,"Uplift Summit Int'L Prep CS","Texas",7535,"https://purplepoisonroboti.wixsite.com/robotics"
NA,"Başakşehir","Turkey",NA,NA,"frc7536",NA,NA,NA,NA,"Analiz Group/AKYA Osgb/Basaksehir Belediyesi/Basaksehir Kaymakamlığı&Akif İnan Anadolu İmam Hatip Lisesi","ANKA ROBOTICS","34480",2019,"Akif İnan Anadolu İmam Hatip Lisesi","Istanbul",7536,"https://www.instagram.com/ankarobotics7536"
NA,"Henderson","USA",NA,NA,"frc7537",NA,NA,NA,NA,"NASA/FIRST Equity & Access Grant/S&P Global/Loya Construction & Paving&Prairie View High School","Thunderbots","80640",2019,"Prairie View High School","Colorado",7537,NA
NA,"Lawrenceville","USA",NA,NA,"frc7538",NA,NA,NA,NA,"Motorola/Lockheed Martin/NCR/Nordson/Gwinnett County Public Schools&Mountain View High School","Metal Mountain ","30043",2019,"Mountain View High School","Georgia",7538,"https://mvhs7538.wixsite.com/metalmountain"
NA,"Mumbai","India",NA,NA,"frc7539",NA,NA,NA,NA,"Dhirubhai Ambani International School & RoboFun Lab Pvt. Ltd.","Elev8","400098",2019,"RoboFun Lab Pvt. Ltd. & Dhirubhai Ambani International School","Maharashtra",7539,"http://www.team7539.com/"
NA,"Sandia Park","USA",NA,NA,"frc7540",NA,NA,NA,NA,"APT Family Enterprise/Boeing/Intuitive Foundation/East Mountain Machine & Design&East Mountain High School","Timberwolf Robotics","87047",2019,"East Mountain High School","New Mexico",7540,NA
NA,"Mapleton","USA",NA,NA,"frc7541",NA,NA,NA,NA,"Minnesota Lake Fire Department / Compeer Financial / Maple River Community Education / Mapleton Area Foundation / Maple River Chamber of Commerce / Kato Engineering / ISG / Arnolds Implement / CCF Bank / Pioneer Bank / The Great Escape Bar and Grill / Jay's Outdoor Sports / M&M Insurance / Luther Honda & Maple River High School","Maple River Robotics","56065",2019,"Maple River High School","Minnesota",7541,"https://www.facebook.com/mapleriverrobotics"
NA,"Hangzhou","China",NA,NA,"frc7542",NA,NA,NA,NA,"Hangzhou Entel Foreign Language School","Entel Foreign language school","311121",2019,"Hangzhou Entel Foreign Language School","Zhejiang",7542,NA
NA,"Hangzhou","China",NA,NA,"frc7543",NA,NA,NA,NA,"The Affiliated High School to Hangzhou Normal University","Graphene ","310030",2019,"The Affiliated High School to Hangzhou Normal University","Zhejiang",7543,NA
NA,"Konak","Turkey",NA,NA,"frc7544",NA,NA,NA,NA,"&Çınarlı Mesleki ve Teknik Anadolu Lisesi","IZMIR ROBOTIK","35000",2019,"Çınarlı Mesleki ve Teknik Anadolu Lisesi","Izmir",7544,"http://izmirrobotik.com/"
NA,"Yuma","USA",NA,NA,"frc7545",NA,NA,NA,NA,"General Motors&Yuma Catholic High School","Leptechons","85365",2019,"Yuma Catholic High School","Arizona",7545,NA
NA,"Zacatecas","Mexico",NA,NA,"frc7546",NA,NA,NA,NA,"Prepa Tec Zacatecas","Prepa Tec - MinerZ","98600",2019,"Prepa Tec Zacatecas","Zacatecas",7546,NA
NA,"Glendale","USA",NA,NA,"frc7547",NA,NA,NA,NA,"UL/NASA/AZFIRST/Mitsubishi Chemical Advanced Materials /Apollo DECA/Parents/Apollo Booster Club/Apollo High School&Apollo High School","Hawkinators","85302",2019,"Apollo High School","Arizona",7547,NA
NA,"Kailua","USA",NA,NA,"frc7548",NA,NA,NA,NA,"NASA/Department of Defense&Le Jardin Academy","Le Jardin Academy","96734",2019,"Le Jardin Academy","Hawaii",7548,NA
