"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Hartland","USA",NA,NA,"frc8002",NA,NA,NA,NA,"John Deere/Rockwell Automation/NASA/General Electric/Mathison Manufacturing/Schneider Electric/Eaton/Milwaukee Tool/Stepcraft/Lake Country School&Lake Country School","The Knack","53029",2020,"Lake Country School","Wisconsin",8002,"https://knackrobotics.weebly.com/"
NA,"Pine Bush","USA",NA,NA,"frc8003",NA,NA,NA,NA,"Pine Bush High School","Bushmen Robotics","12566",2020,"Pine Bush High School","New York",8003,NA
NA,"Waynesville","USA",NA,NA,"frc8004",NA,NA,NA,NA,"S.A.M.E. Society of American Military Engineers/EDGE Educating our Digital Generation Effectively / Department of Defense Education Activity (DoDEA) &Waynesville High School","Tigris ex Machina","65583",2020,"Waynesville High School","Missouri",8004,NA
NA,"Las Vegas","USA",NA,NA,"frc8005",NA,NA,NA,NA,"Gene Haas Foundation&Meadows School","Mega MeadowBots","89128",2020,"Meadows School","Nevada",8005,NA
NA,"Los Angeles","USA",NA,NA,"frc8006",NA,NA,NA,NA,"Cathedral High School, general fund/Alumni Association, Cathedral High School/Richard M. Heredia/Meggitt/JMT Fabrication&Cathedral High School","The Phantoms, from Cathedral High School","90012",2020,"Cathedral High School","California",8006,"https://www.cathedralhighschool.org"
NA,"Rochester","USA",NA,NA,"frc8007",NA,NA,NA,NA,"Rochester  City Schools","Hold Team 1","14614",2020,"Rochester  City Schools","New York",8007,NA
NA,"Guangzhou","China",NA,NA,"frc8011",NA,NA,NA,NA,"Family/Community","Guangzhou Wayi","510000",2020,"Family/Community","Guangdong",8011,NA
NA,"Mesa","USA",NA,NA,"frc8012",NA,NA,NA,NA,"Mesa Public Schools&Red Mountain High School","APEX Robotics","85207",2020,"Red Mountain High School","Arizona",8012,"http://www.mpsaz.org/rmhs/organizations/rmrobotics"
NA,"Boston","USA",NA,NA,"frc8013",NA,NA,NA,NA,"Family/Community","Boston Lions","02116",2020,"Family/Community","Massachusetts",8013,NA
NA,"Aurora","USA",NA,NA,"frc8014",NA,NA,NA,NA,"NASA/Motorola Solution Foundation&Family/Community","Fortitude Robotics","60502",2020,"Family/Community","Illinois",8014,"https://sites.google.com/view/fortitude-robotics/home"
NA,"Shanghai","China",NA,NA,"frc8015",NA,NA,NA,NA,"Shanghai Qibao Dwight High School","The Cheetahs","201101",2020,"Shanghai Qibao Dwight High School","Shanghai",8015,NA
NA,"Rohnert Park","USA",NA,NA,"frc8016",NA,NA,NA,NA,"NASA/Apple/Google/FIRST Equity and Access&Credo High School","Eco Robotics","94928",2020,"Credo High School","California",8016,"https://www.ecorobotics8016.org/"
NA,"taichung","Chinese Taipei",NA,NA,"frc8017",NA,NA,NA,NA,"GOOGLE&Family/Community","SCREW IT!!","40864",2020,"Family/Community","Changhua",8017,NA
NA,"Las Vegas","USA",NA,NA,"frc8018",NA,NA,NA,NA,"TESLA/Gene Haas Foundation&Del Sol High Acad Perf Arts","Del Sol Dragons","89120",2020,"Del Sol High Acad Perf Arts","Nevada",8018,NA
NA,"Mission","USA",NA,NA,"frc8019",NA,NA,NA,NA,"Veterans Memorial High School","Patriot Engineering","78574",2020,"Veterans Memorial High School","Texas",8019,NA
NA,"Taipei","Chinese Taipei",NA,NA,"frc8020",NA,NA,NA,NA,"Dell Technologies/TECHMAN Robot&Taipei Municipal Jianguo High School","Cyberpunk","10066",2020,"Taipei Municipal Jianguo High School","Taipei Special Municipality",8020,"http://www.facebook.com/frc8020"
NA,"Surprise","USA",NA,NA,"frc8021",NA,NA,NA,NA,"NASA/AZFirst/Steve Sanghi Family Foundation/James A Unruh Family Foundation/LAUNCH TEAM Robotics&Paradise Honors High School","Panther Robotics","85388",2020,"Paradise Honors High School","Arizona",8021,NA
NA,"Las Vegas","USA",NA,NA,"frc8022",NA,NA,NA,NA,"NASA/TESLA/Gene Haas Foundation&Northwest Career & Tech Acad","Raging Hawk Robotics","89143",2020,"Northwest Career & Tech Acad","Nevada",8022,NA
NA,"Lewiston","USA",NA,NA,"frc8023",NA,NA,NA,NA,"Lewiston Regional Technical Center/FIRST Robotics/Robotics Institute of Maine/Bates College/CS for LPS&Lewiston Reg Tech Center","LRTC 8023 ","04240",2020,"Lewiston Reg Tech Center","Maine",8023,"https://sites.google.com/view/lrtc-firstrobotics/meet-8023"
NA,"Sparta","USA",NA,NA,"frc8024",NA,NA,NA,NA,"Spartek Inc./Mathy Construction Co./Ashley Furniture&Sparta High School","Sparta Robotans","54656",2020,"Sparta High School","Wisconsin",8024,NA
