"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Ankara","Turkey",NA,NA,"frc8500",NA,NA,NA,NA,"&Jr. Robotics Ankara","TNT Robotics",NA,2021,"Jr. Robotics Ankara","Ankara",8500,NA
NA,"Trabzon","Turkey",NA,NA,"frc8501",NA,NA,NA,NA,"Family/Community","Venus Robotics",NA,2021,"Family/Community","Trabzon",8501,NA
NA,"Taipei City","Chinese Taipei",NA,NA,"frc8503",NA,NA,NA,NA,"Taipei American School","Raid One",NA,2021,"Taipei American School","Taipei Special Municipality",8503,NA
NA,"Dnipro","Ukraine",NA,NA,"frc8504",NA,NA,NA,NA,"Interpipe/USAID CEP & Kyiv Youth Federation of Robotics","YOVi",NA,2021,"Kyiv Youth Federation of Robotics","Dnipropetrovs'ka Oblast'",8504,NA
NA,"Richmond Hill","Canada",NA,NA,"frc8505",NA,NA,NA,NA,"Canada World Education&Family/Community","Snowflakes1",NA,2021,"Family/Community","Ontario",8505,NA
NA,"Midlothian","USA",NA,NA,"frc8507",NA,NA,NA,NA,"Midlothian Heritage High School/Lockheed Martin /BAE Systems/FRC New Team Growth/First in Texas/NASA&Midlothian Heritage High Sch","Jaguar Robotics",NA,2021,"Midlothian Heritage High Sch","Texas",8507,NA
NA,"Başakşehir","Turkey",NA,NA,"frc8508",NA,NA,NA,NA,"PETEK KOLEJİ","PE-TECH",NA,2021,"PETEK KOLEJİ","Istanbul",8508,NA
NA,"Seika Town","Japan",NA,NA,"frc8509",NA,NA,NA,NA,"PR TIMES, Inc./StrategIT/興亜電機株式会社/Google/株式会社PROTEC/karakuri products, Inc./TAKEBISHI CORPORATION/TAKAHA KIKO CO., LTD./Ishida Co., Ltd./Beckhoff Automation K.K./Murata Manufacturing Co., Ltd./Integral AI, Inc.&Family/Community","Scramble",NA,2021,"Family/Community","Kyôto",8509,NA
NA,"North york","Canada",NA,NA,"frc8510",NA,NA,NA,NA,"Family/Community","Giles",NA,2021,"Family/Community","Ontario",8510,NA
NA,"Oklahoma City","USA",NA,NA,"frc8511",NA,NA,NA,NA,"Western Heights Sr High School","The Android P0SSE",NA,2021,"Western Heights Sr High School","Oklahoma",8511,NA
NA,"Albuquerque","USA",NA,NA,"frc8512",NA,NA,NA,NA,"Manzano High School","Manzano Monarchs",NA,2021,"Manzano High School","New Mexico",8512,NA
NA,"Morristown","USA",NA,NA,"frc8513",NA,NA,NA,NA,"Goya Foods, Inc./Mr. and Mrs. Moore/Mr. and Mrs. Akerman/R. Seelaus & Co., Inc./Johnson & Johnson&Villa Walsh Academy","Sisters 1st",NA,2021,"Villa Walsh Academy","New Jersey",8513,NA
NA,"Woodbine","USA",NA,NA,"frc8514",NA,NA,NA,NA,"Family/Community","Junior Squirrels",NA,2021,"Family/Community","Maryland",8514,NA
NA,"Houston","USA",NA,NA,"frc8515",NA,NA,NA,NA,"NASA/Texas Workforce Commission/FIRST in Texas/Analog Devices/Intuitive Foundation/International Society of Automation, Houston Chapter/QADWorks/Gene Haas Foundation&St Agnes Academy&Strake Jesuit College Prep Sch","Photon",NA,2021,"Strake Jesuit College Prep Sch & St Agnes Academy","Texas",8515,NA
NA,"Andover","USA",NA,NA,"frc8516",NA,NA,NA,NA,"Delta ModTech/Cognex&Legacy Christian Academy","Wired Up",NA,2021,"Legacy Christian Academy","Minnesota",8516,NA
NA,"Essexville","USA",NA,NA,"frc8517",NA,NA,NA,NA,"Garber High School","E-Ville Bounty Hunters",NA,2021,"Garber High School","Michigan",8517,NA
NA,"Oshkosh","USA",NA,NA,"frc8518",NA,NA,NA,NA,"Oshkosh Corporation/Triangle Manufacturing/Schneider Electric/Amcor/Oshkosh Recreational Department&Family/Community","Ripple Robotics",NA,2021,"Family/Community","Wisconsin",8518,NA
NA,"Erie","USA",NA,NA,"frc8519",NA,NA,NA,NA,"Mason High School","Bubo's Parliament",NA,2021,"Mason High School","Michigan",8519,NA
NA,"Westminster","USA",NA,NA,"frc8521",NA,NA,NA,NA,"The Boeing Company/Abbott Laboratories/NASA/FIRST Robotics&Westminster High School","CyberLions",NA,2021,"Westminster High School","California",8521,NA
NA,"Springport","USA",NA,NA,"frc8522",NA,NA,NA,NA,"Springport Senior High School","SHS - Robos",NA,2021,"Springport Senior High School","Michigan",8522,NA
