"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Corpus Christi","USA",NA,NA,"frc4000",NA,NA,NA,NA,"jcpenney/Texas Workforce Commission & WB Ray High School","Texsquad","78411",2012,NA,"TX",4000,"http://www.texsquad.org"
NA,"Thornhill","Canada",NA,NA,"frc4001",NA,NA,NA,NA,"Quanser Inc./Foxwood Inc./Scotiabank/Ryerson University/Sayal Electronics/Princess Auto/George's Tastee/Spectrum Nasco/ventureLAB/First Robotics Canada/YCDSB&St. Robert Catholic High School","RAMS ROBOTICS","L3T7P4",2012,"St. Robert Catholic High School","Ontario",4001,"http://www.team4001.com"
NA,"Royal Oak","USA",NA,NA,"frc4002",NA,NA,NA,NA,"SRT & Oakland Schools Technical Campus Southeast","OSTC-SE Robotics","48073",2012,NA,"MI",4002,NA
NA,"Allendale","USA",NA,NA,"frc4003",NA,NA,NA,NA,"ODL, Inc./BizStream/JR Automation Technologies/Countryside Greenhouse/Allendale Robotics & Allendale High School","TriSonics","49401",2012,"Allendale High School","Michigan",4003,"http://www.allendalerobotics.com"
NA,"Muskegon","USA",NA,NA,"frc4004",NA,NA,NA,NA,"Pribusin Inc/L3/Lorin Industries/Smart Vision Lights/Automated Industrial Motion/Bayer/Versatile Manufacturing/Bernie O's Pizza&Family/Community","M.A.R.S. Rovers","49442",2012,"Family/Community","Michigan",4004,"https://www.team4004.com"
NA,"Fort Gibson","USA",NA,NA,"frc4005",NA,NA,NA,NA,"Hostile Gato Robotics/Fort Gibson Education Foundation/Muskogee Manufacturing/Williams Company/Department of Defense (STEM)/Rib Crib/Georgia Pacific/Firstar Bank/OG&E/Advantage Controls/Cedar Inn  of Fort Gibson/Kristie's Scrub Shop/Edward Jones /Chris Sneed & Ft Gibson High School","Hostile Gato Robotics","74434",2012,"Ft Gibson High School","Oklahoma",4005,"http://www.firstinspires.org/"
NA,"Central Islip","USA",NA,NA,"frc4006",NA,NA,NA,NA,"NONE&Central Islip High School","CIBorgs","11722",2012,"Central Islip High School","New York",4006,"http://www.centralislip.k12.ny.us/webpages/robotics/"
NA,"Shawinigan","Canada",NA,NA,"frc4007",NA,NA,NA,NA,"Delastek & Séminaire Sainte-Marie","Les Cactus","G9N 4V9",2012,"Séminaire Sainte-Marie","Québec",4007,"http://www.firstinspires.org/"
NA,"Petersburg","USA",NA,NA,"frc4008",NA,NA,NA,NA,"Toyota / AndyMark / Argosy Foundation / Allied Automation / petersburg hardware / Dunigan Family Dentistry / Sisson Steel & Pike Central High School","Theodore Roosevelt's Disco Haircut","47567",2012,"Pike Central High School","Indiana",4008,"https://team4008.wixsite.com/4008"
NA,"Duluth","USA",NA,NA,"frc4009",NA,NA,NA,NA,"Cirrus Aircraft/Irving Community Club/Hartel's Disposal/Lake City Towing/Arrowhead Machinists/ISD 709&Denfeld Senior High School","Denfeld DNA Robotics","55807",2012,"Denfeld Senior High School","Minnesota",4009,"http:///denfeldrobotics4009.org"
NA,"Tlalpan","Mexico",NA,NA,"frc4010",NA,NA,NA,NA,"PrepaTec CCM/Motorola Solutions Foundation/National Instruments/Fundación Azteca/Qualcomm&Tecnologico de Monterrey, Campus Ciudad de Mexico","PrepaTec - Nautilus","Mexico",2012,"Tecnologico de Monterrey, Campus Ciudad de Mexico","Distrito Federal",4010,"http://www.nautilus4010.com"
NA,"La Crosse","USA",NA,NA,"frc4011",NA,NA,NA,NA,"Brennan Marine/Wisconsin Department of Public Instruction/Mathy Construction/Flex-Craft/La Crosse Seed&Aquinas High School","πρbοtics   (Pi robotics) ","54601",2012,"Aquinas High School","Wisconsin",4011,"http:///7rrc.org/aquinas"
NA,"Staten Island","USA",NA,NA,"frc4012",NA,NA,NA,NA,"Con Edison & St. Joseph By-the-Sea high school","Bad News Bots","10312",2012,"St. Joseph By-the-Sea high school","New York",4012,"http:///www.josephsea.org"
NA,"Orlando","USA",NA,NA,"frc4013",NA,NA,NA,NA,"Best Buy/Lockheed Martin/Walt Disney World Co Design & Engineering/MetaVR&Orlando Science Middle & HS","Clockwork Mania","32804",2012,"Orlando Science Middle & HS","Florida",4013,"http://www.clockworkmania.orlandosciencerobotics.org"
NA,"San Diego","USA",NA,NA,"frc4014",NA,NA,NA,NA,"ViaSat/Qualcomm/Leidos & Family/Community","Pixelators","92078",2012,"Family/Community","California",4014,"http://tophattechnicians.com/"
NA,"Mississauga","Canada",NA,NA,"frc4015",NA,NA,NA,NA,"GMC & St. Joseph Secondary School","Jag","L5V2B9",2012,"St. Joseph Secondary School","Ontario",4015,"http://www.firstinspires.org/"
NA,"Asheville","USA",NA,NA,"frc4016",NA,NA,NA,NA,"ABTech/jcpenney/Medlock & Associates Engineering, PA/ERC Broadband/Zen Sushi/Meet the Geeks/Mark Sherwood & Asheville-Buncombe Robotics Group","Ashebots","28806",2012,NA,"NC",4016,"http:///ashe-bots.org"
NA,"Lind","USA",NA,NA,"frc4017",NA,NA,NA,NA,"NASA & Lind School District # 158","Bulldogs","99341",2012,NA,"WA",4017,NA
NA,"Phoenix","USA",NA,NA,"frc4018",NA,NA,NA,NA,"Microchip/PADT/Gutierrez Family/Friends of 4018/The Scamperle Family & St Marys High School","Knight Bots","85004",2012,NA,"Arizona",4018,"http://www.firstinspires.org/"
NA,"Studio City","USA",NA,NA,"frc4019",NA,NA,NA,NA,"NASA/SolidWorks&Bridges Academy","Mechanical Paradise","91604",2012,"Bridges Academy","California",4019,"https://www.team4019.com"
NA,"Kingsport","USA",NA,NA,"frc4020",NA,NA,NA,NA,"Kingsport City Schools/Appalachian power (AEP) kingsport/Eastman Foundation/Eastman Credit Union/Kiwanis/BAE Systems/Energy System Group/Marsh Living Trust/Bank of Tennessee/Citizens Bank/Kingsport Chamber of Commerce/Lowe's/Tri-City Extrusion/Streamworks/Fastenal/Chef's Pizzeria&Dobyns Bennett High School","Cyber Tribe","37664",2012,"Dobyns Bennett High School","Tennessee",4020,"http://www.dbcybertribe.com/"
NA,"Onalaska","USA",NA,NA,"frc4021",NA,NA,NA,NA,"LHI / Mathy Construction / Ingersoll Rand / Best Buy & Luther High School & Seven Rivers Robotics Coalition","igKnightion","54650-3142",2012,"Luther High School & Seven Rivers Robotics Coalition","Wisconsin",4021,"https://www.igKnightion.com"
NA,"Waterdown","Canada",NA,NA,"frc4022",NA,NA,NA,NA,"Waterdown District High School","Warriors","l0r2h0",2012,NA,"ON",4022,NA
NA,"Buffalo","USA",NA,NA,"frc4023",NA,NA,NA,NA,"Buffalo Academy of Science CS","Buff Sci-borgs","14202",2012,"Buffalo Academy of Science CS","New York",4023,"https://sites.google.com/bascs.org/buffsciborgs/home"
NA,"Winter Park","USA",NA,NA,"frc4024",NA,NA,NA,NA,"Trinity Prep / Disney / Lockheed Martin / NuWind, LLC / Home Depot / Orlando Neurosurgery / Suresh Babu / Al Pergande / Garth Waters & Trinity Preparatory School","The Jokers","32792",2012,"Trinity Preparatory School","Florida",4024,"http://jokersrobotics.com"
NA,"Corryton","USA",NA,NA,"frc4025",NA,NA,NA,NA,"Oak Rdge National Laboratory & Gibbs High School","War Eagles","37721",2012,NA,"Tennessee",4025,"http:///N/A"
NA,"Decatur","USA",NA,NA,"frc4026",NA,NA,NA,NA,"Johnson Research and Development/GE/Big Nerd Ranch/Madison Avenue Community Fund/Decatur Education Foundation/Novelis/Kennesaw State University/Automation Direct&Decatur High School&Family/Community","Global Dynamics","30030",2012,"Family/Community & Decatur High School","Georgia",4026,"http://DecaturRobotics.org"
NA,"State College","USA",NA,NA,"frc4027",NA,NA,NA,NA,"Centre County 4-H/WHVL TV State College/Penn State College of Engineering/Ben Franklin Technology Parnters/Loop Software/TechKnowServ Corporation/Blue Mountain Quality Resources/ASME, Central Pennsylvania/RTD Embedded Technologies/AccuWeather&4-H","Centre Punch","16803",2012,"4-H","Pennsylvania",4027,"http://www.centre4h-robotics.org/"
NA,"Cincinnati","USA",NA,NA,"frc4028",NA,NA,NA,NA,"Honeywell Intelligrated/Mike's Nashville Hot/Phillips Edison and Company & Chca-Martha S Lindner High Sch","The Beak Squad","45249",2012,"Chca-Martha S Lindner High Sch","Ohio",4028,"https://www.beaksquad.org"
NA,"Huntington Park","USA",NA,NA,"frc4029",NA,NA,NA,NA,"jcpenney/will.i.am & Huntington Park High School","SpartanBots","90255",2012,NA,"CA",4029,"http://team4029.net/"
NA,"Seattle","USA",NA,NA,"frc4030",NA,NA,NA,NA,"The Boeing Company/OSPI/F5/Genie & Ingraham High School","NullPointerException","98133",2012,NA,"Washington",4030,"http://ingrahamrobotics.org/"
NA,"Brookville","USA",NA,NA,"frc4031",NA,NA,NA,NA,"Miller Welding and Machine/Jefferson County Fair & 4-H Force","4-H Force Team","15825",2012,NA,"Pennsylvania",4031,"http://www.wix.com/skm30/4-hforcerobotics"
NA,"Cecil","USA",NA,NA,"frc4032",NA,NA,NA,NA,"Simmons Farm / Range Resources / Women of Philanthropy Giving Circle of the Washington County Community Foundation / The Heinz Endowments / Washington County 4-H & 4-H Chrome Clovers","4-H Chrome Clovers","15057",2012,NA,"PA",4032,"http:///4hchromeclovers.com"
NA,"Pelham","USA",NA,NA,"frc4034",NA,NA,NA,NA,"Schneider Electric / Greater Salem Rotary Club / Technology Seed / Enterprise Bank & Pelham High School","Pelham πthons Team 4034","03076",2012,"Pelham High School","New Hampshire",4034,"http://www.firstinspires.org/"
NA,"Orange","USA",NA,NA,"frc4035",NA,NA,NA,NA,"Picatinny Arsenal&Orange High","Torbotix","07050",2012,"Orange High","New Jersey",4035,"http://ohsrobotics4035.webs.com/"
NA,"Las Vegas","USA",NA,NA,"frc4036",NA,NA,NA,NA,"NASA & Southwest Career and Technical Academy","Short Circuit","89113",2012,NA,"NV",4036,"http://swcta.net/"
NA,"Hot Springs","USA",NA,NA,"frc4037",NA,NA,NA,NA,"NASA/ArkansasFIRST/jcpenney/National Park Community College/Mid South Engineering & Lakeside High School","Hot Springs Tronix","71901",2012,NA,"AR",4037,NA
NA,"Bremerton","USA",NA,NA,"frc4038",NA,NA,NA,NA,"OSPI / DoD / CKSD & Olympic High School","Binary Robotics","98311",2012,NA,"WA",4038,"http://www.binaryrobotics.com"
NA,"Hamilton","Canada",NA,NA,"frc4039",NA,NA,NA,NA,"ArcelorMittal Dofasco/PythonX/CIMCORP Automation/Magna International/John Deere/General Motors/The Giovinazzo Family/Fabris/Storagevault Canada/Comfort First Heating and Cooling/Caledonia Veterinary Clinic/McMaster-Mohawk W Booth School of Engineering Practice and Technology/Pulse Microsystems/Memme Infrastructure Contractors/Hamilton-Wentworth Catholic District School Board/Stryker Canada/Loudmouth Golf&St. Mary Catholic Secondary School","MakeShift Robotics","L8S 2G7",2012,"St. Mary Catholic Secondary School","Ontario",4039,"http://4039.ca"
NA,"Jonesboro","USA",NA,NA,"frc4040",NA,NA,NA,NA,"jcpenney/Arkansas FIRST/NEA/Norwesco & Valley View High School","Grease Monkeys","72401",2012,NA,"AR",4040,NA
NA,"Gardiner","USA",NA,NA,"frc4041",NA,NA,NA,NA,"MSAD #11/The Robinson Fund/TRC Engineering/Passerelle Data/Robotics Institute of Maine&Gardiner Area High School","Iron Tigers","04345",2012,"Gardiner Area High School","Maine",4041,"http://www.firstteam4041.com"
NA,"South China","USA",NA,NA,"frc4042",NA,NA,NA,NA,"Robotics Institute of Maine / Oak Grove Foundation / Google / Nate Klien / Bar Harbor Bank and Trust / G&E Roofing / Sappi - S.D. Warren Company / Hussey's General Store / OwnYourThings & Erskine Academy","Murphy's Lawyers","04358",2012,"Erskine Academy","Maine",4042,"http:///www.team4042.com"
NA,"McMinnville","USA",NA,NA,"frc4043",NA,NA,NA,NA,"OnPoint Community Credit Union/First Federal/Oregon 4-H Foundation/Tripwire/Autodesk/LAM/NASA/Home Depot  (Marcus Karraffa)/Linfield University/Evergreen Aviation and Space Museum&Family/Community","NerdHerd","97128",2012,"Family/Community","Oregon",4043,"http://www.nerdherd4043.org"
NA,"Capac","USA",NA,NA,"frc4044",NA,NA,NA,NA,"Sterling Tool, Inc. / Witco, Inc. / Comau Inc. / Kroger's / SRT / Keihin Michigan Manufacturing / Detroit Tigers, Inc., / NDIA / Peerless Steel / New-Cor / Hard Milling Solutions / K.B.C. Tools / Tri-Tool Boring / Doodling Outback Embroidery / Champion Steel, Inc. & SCREAMIN' EAGLES K-12 FIRST Robotics  group","SCREAMIN' EAGLES","48014",2012,NA,"MI",4044,"http:///www.ScreaminEagles.org"
NA,"Fort Worth","USA",NA,NA,"frc4045",NA,NA,NA,NA,"The Rain Water Charitable Foundation / Texas Workforce Commission & O D WYATT H S","Toxic Drones","76119",2012,NA,"Texas",4045,NA
NA,"Los Angeles","USA",NA,NA,"frc4046",NA,NA,NA,NA,"Millennium Hollywood / NASA / Hollywood Studio District Neighborhood Council / East Hollywood Neighborhood Council & Helen Bernstein Complex","Schrodinger's Dragons","90028",2012,NA,"CA",4046,NA
NA,"Okland","USA",NA,NA,"frc4047",NA,NA,NA,NA,"Brin Wojcicki & Oakland Technical High","Cyber Dogz","94621",2012,NA,"California",4047,"http://www.firstinspires.org/"
NA,"Westborough","USA",NA,NA,"frc4048",NA,NA,NA,NA,"Solidworks/Intel/RTX / Raytheon/Bainwood, Huang & Associates, LLC/The MathWorks Inc./Westborough Shopping Center/Lowes/Wegmans/Piedmont Plastics&Westborough High School","Redshift","01581",2012,"Westborough High School","Massachusetts",4048,"http:///www.team4048.org"
NA,"Saxonburg","USA",NA,NA,"frc4049",NA,NA,NA,NA,"Knoch Senior High School","Knoch Knights Robotics","16056",2012,"Knoch Senior High School","Pennsylvania",4049,"http://www.southbutler.net/robotics/"
NA,"Chambersburg","USA",NA,NA,"frc4050",NA,NA,NA,NA,"South Central STEM Collective/Franklin County 4-H/JLG Industries/TE Foundation/Booz Allen Hamilton/Y.B. Welding/Heinz&Family/Community&Family/Community","Biohazard","17202",2012,"Family/Community & Family/Community","Pennsylvania",4050,"http://www.biohazard4050.org"
NA,"Portland","USA",NA,NA,"frc4051",NA,NA,NA,NA,"Intel corperation/SPEEA, IFPTE Local 2001/Boeing Co./Blount/Les Schwab tire/Oregon massage and wellness clinic&Sabin-Schellenberg Center","Sabin-Sharks","97267",2012,"Sabin-Schellenberg Center","Oregon",4051,"https://Sabin-Sharks.com"
NA,"Fort Myers","USA",NA,NA,"frc4052",NA,NA,NA,NA,"NASA/Vision Ace Hardware/jcpenney & South Fort Myers High School","WolfTrack","33912",2012,NA,"FL",4052,NA
NA,"Gonzales","USA",NA,NA,"frc4053",NA,NA,NA,NA,"BASF / Ford, Bacon, & Davis Engineering & East Ascension High School & Dutchtown High School & St Amant High School & Donaldsonville High School","Team Ascension","70737",2012,"East Ascension High School & Dutchtown High School & St Amant High School & Donaldsonville High School","Louisiana",4053,"Coming Soon"
NA,"La Crosse","USA",NA,NA,"frc4054",NA,NA,NA,NA,"Advertising Concepts&Central High School","Robo Hawks","54601",2012,"Central High School","Wisconsin",4054,"http://www.firstinspires.org/"
NA,"Winchester","USA",NA,NA,"frc4055",NA,NA,NA,NA,"United Technologies / Whiting Mills LLC / RoBrand Products, Inc. & Northwestern Regional High Sch","NRG","06098",2012,"Northwestern Regional High Sch","Connecticut",4055,"http://www.frc4055.org"
