"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Raleigh","USA",NA,NA,"frc6500",NA,NA,NA,NA,"Schneider Electric/John Deere&Millbrook High School","GearCats 6500","27615",2017,"Millbrook High School","North Carolina",6500,"http://millbrookrobotics.com/"
NA,"Durham","USA",NA,NA,"frc6502",NA,NA,NA,NA,"University of Washington & Durham Academy","DARC SIDE","27705",2017,"Durham Academy","North Carolina",6502,NA
NA,"Seattle","USA",NA,NA,"frc6503",NA,NA,NA,NA,"Seattle World School","Iron Dragon","98122",2017,"Seattle World School","Washington",6503,NA
NA,"Falls Church","USA",NA,NA,"frc6504",NA,NA,NA,NA,"NASA/DODStem/Leidos/DS Metalworks/Harbor Freight&Falls Church High School","FCHS Jagwires","22042",2017,"Falls Church High School","Virginia",6504,"http://FallsChurchRobotics.com"
NA,"Washington","USA",NA,NA,"frc6505",NA,NA,NA,NA,"DoDSTEM & Family/Community","ElectroPanthers","20002",2017,"Family/Community","District of Columbia",6505,NA
NA,"Salinas","USA",NA,NA,"frc6506",NA,NA,NA,NA,"KLA-Tencor/Bayer/FIRST Norcal/Department of Defense STEM/El Camino Machine & Welding/North American Seed Co./Telstar Instruments/Taylor Logistics Company LLC/Statewide Recording/Dr Ann T Truong OD&Salinas High School","Steel Boot","93901",2017,"Salinas High School","California",6506,NA
NA,"Reynosa","Mexico",NA,NA,"frc6507",NA,NA,NA,NA,"Tecmilenio Reynosa/BOEING/ARGOSY FOUNDATION&Tecmilenio Reynosa ","Tecmilenio CYBORG HAWKS  6507","88715",2017,"Tecmilenio Reynosa","Tamaulipas",6507,"http://elektron-6507.webnode.mx/"
NA,"Port Macquarie","Australia",NA,NA,"frc6508",NA,NA,NA,NA,"Hastings Secondary College Westport Campus & Hastings Secondary College Port Macquarie Campus","Hastings Heroes","2444",2017,"Hastings Secondary College Port Macquarie Campus & Hastings Secondary College Westport Campus","New South Wales",6508,NA
NA,"Gosnells","Australia",NA,NA,"frc6509",NA,NA,NA,NA,"Souther River College","Southern River","6110",2017,"Souther River College","Western Australia",6509,NA
NA,"Pymble","Australia",NA,NA,"frc6510",NA,NA,NA,NA,"Pymble Ladies College/Tradiebot/Ultraflex&Pymble Ladies' College","Pymble Pride","2073",2017,"Pymble Ladies' College","New South Wales",6510,"https://www.facebook.com/PymbleLCrobotics/"
NA,"Mumbai","India",NA,NA,"frc6511",NA,NA,NA,NA,"Oberoi International School","Oberoi","400063",2017,"Oberoi International School","Maharashtra",6511,NA
NA,"Bolivia","USA",NA,NA,"frc6512",NA,NA,NA,NA,"Argosy Foundation/American Nuclear Society/Archer Daniels Midland/Duke Energy/Brunswick Electric Membership Corporation/Brunswick County Schools&Family/Community","Coastal CATastrophe","28422",2017,"Family/Community","North Carolina",6512,NA
NA,"Woodbridge","Canada",NA,NA,"frc6513",NA,NA,NA,NA,"Siemens/Extrudex Aluminum Corp/Magna International/Trans Power Utility Contractors/Boeing/Venngo Inc./Interstate All Battery Centre/Pencak Silat Alazhar Canada/Lucid Electric&Woodbridge College","The Wyverns","L4L1J3",2017,"Woodbridge College","Ontario",6513,NA
