"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Hingham","USA",NA,NA,"frc5000",NA,NA,NA,NA,"Massa/Bolt Depot & Hingham Senior High School","Hammerheads","02043",2014,"Hingham Senior High School","Massachusetts",5000,"http://frcteam5000.weebly.com"
NA,"Tulsa","USA",NA,NA,"frc5001",NA,NA,NA,NA,"DOVE Science Academy Tulsa / Tinker Airforce / Team Tinker / American Electric Power (AEP) & Dove Science Academy","Fast and Serious","74112",2014,"Dove Science Academy","Oklahoma",5001,"http://www.firstinspires.org/"
NA,"Collierville","USA",NA,NA,"frc5002",NA,NA,NA,NA,"FedEx / United Technologies / Tennessee Valley Authority / AOC-Resin / ABB / View Inc. & Collierville High School","Dragon Robotics","38017",2014,"Collierville High School","Tennessee",5002,"http:///dragonrobotics.org"
NA,"Onalaska","USA",NA,NA,"frc5003",NA,NA,NA,NA,"Mathy Construction / Best Buy / Onalaska Education Foundation & Onalaska High School","Topperbotics","54650",2014,"Onalaska High School","Wisconsin",5003,"http://www.firstinspires.org/"
NA,"Roswell","USA",NA,NA,"frc5004",NA,NA,NA,NA,"Robotic Explorers","Gravity Loop","30076",2014,NA,"Georgia",5004,"http://gravityloop5004.com/"
NA,"Chattanooga","USA",NA,NA,"frc5005",NA,NA,NA,NA,"Boyd Buchanan School","RoboBucs","37411",2014,"Boyd Buchanan School","Tennessee",5005,"http:///Www.robobucs.com"
NA,"Fayetteville","USA",NA,NA,"frc5006",NA,NA,NA,NA,"RCAL Products Inc./JetFin Innovation&Family/Community","Apophis","72753",2014,"Family/Community","Arkansas",5006,"https://team5006.com"
NA,"Miami","USA",NA,NA,"frc5007",NA,NA,NA,NA,"Design Architecture Senior High","Phantomechanics","33137",2014,NA,"FL",5007,NA
NA,"Detroit","USA",NA,NA,"frc5008",NA,NA,NA,NA,"University of Michigan-College of Engineering/NASA/Berg Family/DADRA/Google/Ford Motor Company/Toyota/McNaughton-McKay Electric Company & University Yes Academy","(robo)LIONS","48235",2014,NA,"Michigan",5008,"http://www.firstinspires.org/"
NA,"Guaynabo","USA",NA,NA,"frc5009",NA,NA,NA,NA,"Techno Inventors, Inc. & Techno Inventors of Puerto Rico","Techno Inventors of Puerto Rico","00969",2014,NA,"PR",5009,"http://technoinventors.com"
NA,"Fishers","USA",NA,NA,"frc5010",NA,NA,NA,NA,"The Thrifty Bot/Rolls Royce/FIshers Maker Playground/Johnson Controls/Lowell Beaver American Legion Post 470/Reciprocal Technologies/Aptiv Foundation&Fishers High School","Tiger Dynasty","46038",2014,"Fishers High School","Indiana",5010,"http://tigerdynasty.org"
NA,"Ksifa","Israel",NA,NA,"frc5011",NA,NA,NA,NA,"STEM High School","Desert star","84923",2014,NA,"D",5011,"https://sites.google.com/site/stemfrc/home"
NA,"Palmdale","USA",NA,NA,"frc5012",NA,NA,NA,NA,"NASA Armstrong Flight Research Center/Boeing/Lockheed Martin/The Palmdale Aerospace Academy/Pacific Coast Powder Coating&The Palmdale Aerospace Academy","Gryffingear","93550",2014,"The Palmdale Aerospace Academy","California",5012,"http://www.gryffingear.com"
NA,"Kansas City","USA",NA,NA,"frc5013",NA,NA,NA,NA,"Park Hill School District/C&C Group/Mongar Robotics Foundation/SMC Corporation of America/AMC Theatres/Clayco Electric/KC STEM Alliance/Wood 'N' Stuff Cabinets/INTAKE Studios/Keyhole Software&Park Hill High School","Trobots","64153",2014,"Park Hill High School","Missouri",5013,"http://trobots.org"
NA,"Detroit","USA",NA,NA,"frc5014",NA,NA,NA,NA,"Argosy Foundation & Allen Academy","Wildcats","48204",2014,NA,"Michigan",5014,"http://www.firstinspires.org/"
NA,"Calgary","Canada",NA,NA,"frc5015",NA,NA,NA,NA,"Westjet/Telus/Rob's No Frills/Tetranex Solutions Inc./Hatch/ISA/Shing Digital/Finning/Weaver Group Limited/Vise Energy Services/Baker Hughes/Vortex Production Services/OSYRentals/Pasco Maintenance/Pilemaster/Surepoint Group/Aspire Energy Resources Inc./XCEL Automation Ltd./Kodiak Energy Services/Laser Equation Ltd./Valard/Equinox Engineering/QSine & Neighborhood Group","SWAT Bots Robotics","t2z3v6",2014,"Neighborhood Group","Alberta",5015,"http://www.firstinspires.org/"
NA,"Huntington","USA",NA,NA,"frc5016",NA,NA,NA,NA,"Huntington Union Free School District/Dr. Inna Gellerman, DDS/Palacios Law Group/LuHi Summer Programs/Rotary Club of Huntington/JRS Precision/Injury Lawyer LI/Huntington Marine Services, Inc. /LaunchPad Huntington/Action Powder Coating&Huntington High School","Huntington Robotics","11743",2014,"Huntington High School","New York",5016,"http://team5016.com"
NA,"Harbor Beach","USA",NA,NA,"frc5017",NA,NA,NA,NA,"Dow / FIRST GLBR / Gemini Group / McDonalds Food and Family Center / Tower Automotive & Harbor Beach Community High School","Pirates","48441",2014,NA,"Michigan",5017,"http://www.firstinspires.org/"
NA,"Winter Garden","USA",NA,NA,"frc5018",NA,NA,NA,NA,"WEST ORANGE HIGH","The Droids You're Looking For","34787",2014,NA,"FL",5018,NA
NA,"West Salem","USA",NA,NA,"frc5019",NA,NA,NA,NA,"Mathy Construction/Ashley Furniture/Torrance Casting Inc./Seven Rivers Robotics Coalition&West Salem High School&Coulee Christian School","Gearbox Heroes","54669",2014,"West Salem High School","Wisconsin",5019,"https://www.gearboxheroes.org"
NA,"Roebuck","USA",NA,NA,"frc5020",NA,NA,NA,NA,"Dorman High School / NASA / SEW Eurodrive / Spartanburg Steele & Paul M Dorman High School","CavBOTS","29376",2014,"Paul M Dorman High School","South Carolina",5020,"Coming Soon"
NA,"Grand Forks","USA",NA,NA,"frc5021",NA,NA,NA,NA,"Center for Innovation & Central High School","Bright Shiny Things","58201",2014,NA,"ND",5021,NA
NA,"Jonesborough","USA",NA,NA,"frc5022",NA,NA,NA,NA,"Washington County Board of Education/John Deere/Eastman Chemical Company/AEROJET ROCKETDYNE/Parker/Kiwanis International/Superior Metal Products/Walmart/TVA/BrightRidge&David Crockett High School","Rat Rod Robotics","37659",2014,"David Crockett High School","Tennessee",5022,"http://www.firstinspires.org/"
NA,"San Bruno","USA",NA,NA,"frc5023",NA,NA,NA,NA,"San Mateo Union School District & CAPUCHINO HIGH","Furious Disco Ninjas","94066",2014,NA,"California",5023,"http:///team5023.org"
NA,"London","Canada",NA,NA,"frc5024",NA,NA,NA,NA,"TR Electronic/Enbridge Gas Inc/Thames Valley District School Board&HB Beal Secondary School","Raider Robotics","N6B 1W5",2014,"HB Beal Secondary School","Ontario",5024,"http://raiderrobotics.org"
NA,"San Diego","USA",NA,NA,"frc5025",NA,NA,NA,NA,"Meziere Enterprise / McSweeney Family / Tellogic Inc. / Qualcomm & Cathedral Catholic High School","Pacific Steel","92130",2014,"Cathedral Catholic High School","California",5025,"http:///team5025.com"
NA,"Burlingame","USA",NA,NA,"frc5026",NA,NA,NA,NA,"Google/BAE/Intuitive Surgical/Datron/OSIsoft/Solidworks/San Mateo Union High School Gate Parents Group/Iron Panther Families&Burlingame High School","Iron Panthers","94010",2014,"Burlingame High School","California",5026,"https://ironpanthers.com"
NA,"San Jose","USA",NA,NA,"frc5027",NA,NA,NA,NA,"Qualcomm/Intuitive Surgical, Inc/Boston Scientific/Argosy Foundation/Andrew P. Hill High School and East side Union High School District/Monica Scheider and Family/Solidworks/ARM INC&Andrew P Hill High School","FRC 5027","95111",2014,"Andrew P Hill High School","California",5027,"http://www.firstinspires.org/"
NA,"Santa Rosa Beach","USA",NA,NA,"frc5028",NA,NA,NA,NA,"Seacoast Collegiate High School","Seacoast Robotics","32459",2014,NA,"FL",5028,NA
NA,"Batchelor","Australia",NA,NA,"frc5029",NA,NA,NA,NA,"Google/Macquarie University/FIRST Team 3132 & Batchelor Institute","Batchelor Institute","0845",2014,NA,"Northern Territory",5029,NA
NA,"Utica","USA",NA,NA,"frc5030",NA,NA,NA,NA,"SUNY Polytechnic Institute&Sauquoit Valley High School&Thomas R Proctor High School&Manlius Pebble Hill&House of Good Sheppard Tilton School","The Second Mouse","13502",2014,"House of Good Sheppard Tilton School & Manlius Pebble Hill & Sauquoit Valley High School & Thomas R Proctor High School","New York",5030,"http:///www.team5030.com"
NA,"North York","Canada",NA,NA,"frc5031",NA,NA,NA,NA,"Toronto District School Board/Enbridge Gas/RBC/Dr. Tom Lee / Richard Lee/Dino Gliosca.&Downsview secondary"," Full Metal Mustangs","M3K 1W3",2014,"Downsview secondary","Ontario",5031,"http:///www.downsviewrobotics.weebly.com"
NA,"Mississauga","Canada",NA,NA,"frc5032",NA,NA,NA,NA,"THK Canada/Mat Man Dust Control Systems/Sikh Motorcycle Club of Ontario/Exceed Robotics/General Motors Canada&Meadowvale secondary","Falcons","L5N3B2",2014,"Meadowvale secondary","Ontario",5032,"http://www.firstinspires.org/"
NA,"Dorchester","Canada",NA,NA,"frc5033",NA,NA,NA,NA,"Armatec: Survivability Solutions/Thames Valley District School Board/Formet Industries/A & W Dorchester/Lioness Club of South Dorchester&Lord Dorchester Secondary School","Beavertronics","N0L 1G2",2014,"Lord Dorchester Secondary School","Ontario",5033,"http://www.firstinspires.org/"
NA,"Chattanooga","USA",NA,NA,"frc5034",NA,NA,NA,NA,"TVA & Red Bank High School & Chattanooga Girls Leadership Academy","River City Robotics","37406",2014,NA,"Tennessee",5034,"http://www.firstinspires.org/"
NA,"North Bay","Canada",NA,NA,"frc5035",NA,NA,NA,NA,"Union Gas Limited/Canador College/Nipissing First Nation & Nbisiing Secondary School & Nbisiing Secondary Shool","eNimkii","P1B8H5",2014,NA,"Ontario",5035,NA
NA,"Scarborough","Canada",NA,NA,"frc5036",NA,NA,NA,NA,"TDSB/Honda of Canada Mfg.&Sir Wilfrid Laurier Collegiate Institute","The Robo Devils","M1E 1P5",2014,"Sir Wilfrid Laurier Collegiate Institute","Ontario",5036,"http://team5036.ca/"
NA,"Greenbrier","USA",NA,NA,"frc5037",NA,NA,NA,NA,"Greenbrier High School","Panther BOTS","72058",2014,NA,"AR",5037,NA
NA,"Megiddo Regional Council ","Israel",NA,NA,"frc5038",NA,NA,NA,NA,"Megiddo Regional Council/Tama Plastic Industry/World ORT/UNESCO&Megiddo regional High School","MEGIDDO LIONS","99999",2014,"Megiddo regional High School","HaZafon",5038,"https://www.megiddo-robotics.co.il"
NA,"Sarnia","Canada",NA,NA,"frc5039",NA,NA,NA,NA,"NOVA Chemicals/Rockwell Automation/Langtree Controls Limited/Electrozad Supply Limited - Sarnia/ISA Sarnia Section/PEO Sarnia Section/Sylvan Automation Ltd.&St. Patrick's Catholic High School","Irish Iron","N7S 6K2",2014,"St. Patrick's Catholic High School","Ontario",5039,"http://www.frc5039.com/"
NA,"Arlington","USA",NA,NA,"frc5040",NA,NA,NA,NA,"Shelby County Schools & BOLTON HIGH SCHOOL & BOLTON HIGH SCHOOL","BoltBot","38002",2014,NA,"Tennessee",5040,NA
NA,"West Branch","USA",NA,NA,"frc5041",NA,NA,NA,NA,"Collins Aerospace&West Branch High School","CyBears","52358",2014,"West Branch High School","Iowa",5041,"https://5041cybearrobotics.wordpress.com/"
NA,"Scottsdale","USA",NA,NA,"frc5042",NA,NA,NA,NA,"Salt River high School","Native Bots","85256",2014,NA,"AZ",5042,NA
NA,"Peoria","USA",NA,NA,"frc5043",NA,NA,NA,NA,"Challenger Space Center of Arizona & Challenger Space Center","Challenger","85382",2014,NA,"AZ",5043,NA
NA,"Nashville","USA",NA,NA,"frc5044",NA,NA,NA,NA,"Montgomery Bell Academy","MBA Big Red Robots","37205",2014,NA,"TN",5044,"http:///mbarobots.com"
NA,"Memphis","USA",NA,NA,"frc5045",NA,NA,NA,NA,"FedEx/Autoguide/Sharp/Smith and Nephew/Society of Information Managers/Tennessee Valley Robotics/Engineers Club of Memphis&White Station High School","SpartaBot","38117",2014,"White Station High School","Tennessee",5045,"http://team5045.com"
NA,"Memphis","USA",NA,NA,"frc5046",NA,NA,NA,NA,"Haacks Farm Greenhouses & Memphis Jr Sr High School","Jacked Up Jackets","48041",2014,"Memphis Jr Sr High School","Michigan",5046,"http://team5046"
NA,"El Paso","USA",NA,NA,"frc5047",NA,NA,NA,NA,"Boeing/Texas Workforce Commission/Marathon Petroleum/Beltran Manufacture/National Instruments&Del Valle High School","DV CONQUISTABOTS","79907",2014,"Del Valle High School","Texas",5047,"http://www.dvsystems1.weebly.com"
NA,"Imlay City","USA",NA,NA,"frc5048",NA,NA,NA,NA,"Michigan Department of Education/Imlay City School District&Imlay City High School","Spartronics","48444",2014,"Imlay City High School","Michigan",5048,"http://www.Spartronics5048.com"
NA,"Las Vegas","USA",NA,NA,"frc5049",NA,NA,NA,NA,"NASA/Brady Industries/Arcata Associates, Inc./GRADD/NVIDIA/Tesla/NVBAA/Argosy Foundation/Gene Haas Foundation/Steve & Susan Philpott /Junior League of Las Vegas/REC Foundation/DonorsChoose&Sunrise Mountain High School","Minerbots","89156",2014,"Sunrise Mountain High School","Nevada",5049,"https://minerbots5049.wixsite.com/minerbots"
NA,"Carleton","USA",NA,NA,"frc5050",NA,NA,NA,NA,"Ford Motor Company / DADARA / Diamond Alternative / Resources Unlimited Company / Newport Internal Medicine & Airport Senior High School","Cow Town Robotics","48117",2014,"Airport Senior High School","Michigan",5050,"www.facebook.com/JetRobots5050"
NA,"Port Perry","Canada",NA,NA,"frc5051",NA,NA,NA,NA,"Fast Eddie Community Robotics  / 2014 FRC Rookie Grant / 2015 FRC Hardship Grant / Baagwating Community Group / Township of Scugog / Signworks Canada / Tutorwiz Education Centre / The Bagg Group / Radioactive Hotspot / Molly Maid / Maximum Signs / Loctite / CARBODSKI & Neighborhood Group","Fast Eddie Robotics","L9L 1P2",2014,NA,"Ontario",5051,NA
NA,"Cedar Park","USA",NA,NA,"frc5052",NA,NA,NA,NA,"National Instruments/QuarterSpot/Dell EMC PowerEdge/Mercedes-Benz of Austin/Texas Workforce Commission/Leander ISD & Cedar Park High School","The RoboLobos","78613",2014,"Cedar Park High School","Texas",5052,"http://team5052.com/"
NA,"Waterford","USA",NA,NA,"frc5053",NA,NA,NA,NA,"The FCA Foundation, the charitable arm of Stellantis/Joyson Safety Systems/DT Foster Inc./Knights of Columbus/Our Lady of the Lakes Catholic High School/St Mary's Preparatory High School&Our Lady of the Lakes CS","Lakers","48329",2014,"Our Lady of the Lakes CS","Michigan",5053,"https://lakerrobotics.wordpress.com/"
NA,"Chicago","USA",NA,NA,"frc5054",NA,NA,NA,NA,"Marine Math and Science Academy","Noobum Roboticum","60612",2014,NA,"IL",5054,NA
NA,"New Orleans","USA",NA,NA,"frc5055",NA,NA,NA,NA,"Boeing / NASA / Intralox & Laitram Corp / Daming Automation & Clark Prep High School","robodogs","70116",2014,NA,"LA",5055,NA
NA,"Buchanan","USA",NA,NA,"frc5056",NA,NA,NA,NA,"Lake Michigan STEAMWORKS/FISHER RAHISER GROUP/Buchanan Scarecrow Charities/US 12 Storage/Honor Credit Union&Buchanan High School","MegaHurtz Robotics","49107",2014,"Buchanan High School","Michigan",5056,"http:///www.MegaHurtzRobotics.org"
NA,"Dallas","USA",NA,NA,"frc5057",NA,NA,NA,NA,"Raytheon/Texas Workforce Commission & Townview Mag Hs-Sci & Eng & Townview Mag Hs-Talent & Gift & Townview Mag Hs-Bus & Mngmnt","RoboBusters","75203",2014,"Townview Mag Hs-Talent & Gift & Townview Mag Hs-Sci & Eng & Townview Mag Hs-Bus & Mngmnt","Texas",5057,"https://twitter.com/Robobusters_"
NA,"Chattanooga","USA",NA,NA,"frc5058",NA,NA,NA,NA,"Chattanooga Girls Ldrshp Acad","CGLA Mustang Innovators","37404",2014,"Chattanooga Girls Ldrshp Acad","Tennessee",5058,NA
NA,"Globe","USA",NA,NA,"frc5059",NA,NA,NA,NA,"Resolution Copper Company / Freeport McMoran / Science Foundation Arizona / Boeing / Ajax ltd / Arizona State University / Industrial Metal Supply / BaseCamp / Bloom on Broad / Cobre Valley Regional Medical Center & Globe High School","The Midnight Cicadas","85501",2014,"Globe High School","Arizona",5059,"http://www.midnightcicadas.com"
NA,"Farmington","USA",NA,NA,"frc5060",NA,NA,NA,NA,"Boeing & Farmington High School","KnighTech","63640",2014,"Farmington High School","Missouri",5060,"https://sites.google.com/a/farmington.k12.mo.us/pltw1/fhsfirst"
NA,"Woodstock Academy","USA",NA,NA,"frc5061",NA,NA,NA,NA,"TBD","1","06281",2014,NA,"CT",5061,NA
NA,"Tuba City","USA",NA,NA,"frc5062",NA,NA,NA,NA,"Tuba City High School","Warriors","86045",2014,NA,"AZ",5062,NA
NA,"Aynor","USA",NA,NA,"frc5063",NA,NA,NA,NA,"Metglass Inc. / Altman Animal Hospital / Anderson Brothers Bank / HTC / Dan O. James / Aynor Napa Auto Parts / National Guard / Town of Aynor / Owens Steel & Machine Works / Aynor Building Supply / Charles F. Edge / Aynor Tire Mart / Rabons Inc. / Santino's Pizza Aynor / Nye's Pharmacy / Authentic Signs / Starwood Landscaping / Hucks Painting / Alford Signs / Becky McElhaney & Aynor High School","BuzzBots","29511",2014,"Aynor High School","South Carolina",5063,"http://www.aynorrobotics.com"
NA,"Edmonton","Canada",NA,NA,"frc5064",NA,NA,NA,NA,"2014 FRC Rookie Grant / MEG Energy & Progressive Academy","Opcom","T5N 1A3",2014,"Progressive Academy","Alberta",5064,"http:///5064.ca"
NA,"Detroit","USA",NA,NA,"frc5065",NA,NA,NA,NA,"Frontier International Academy","Knights","48212",2014,"Frontier International Academy","Michigan",5065,"http://www.firstinspires.org/"
NA,"Saline","USA",NA,NA,"frc5066",NA,NA,NA,NA,"Kelly Orthodontics/CV Engineering/Michigan Department of Education/Ford/Liebherr/dSpace/Wolverine Tax & Accounting/Netscout&Saline High School","Singularity","48176",2014,"Saline High School","Michigan",5066,"http:///salinerobotics.org"
NA,"Ann Arbor","USA",NA,NA,"frc5067",NA,NA,NA,NA,"Terdata Corporation/21st Century Fox/State of Michigan/NASA&Rudolf Steiner Sch-Ann Arbor","Steiner Steel Storm","48108",2014,"Rudolf Steiner Sch-Ann Arbor","Michigan",5067,"http://www.firstinspires.org/"
NA,"Detroit","USA",NA,NA,"frc5068",NA,NA,NA,NA,"2014 FRC Rookie Grant & Experiencia Preparatory Academy","The Outsiders","48201",2014,NA,"Michigan",5068,"http://www.firstinspires.org/"
