"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Valparaiso","USA",NA,NA,"frc1000",NA,NA,NA,NA,"Urschel Laboratories Incorporated / Task Force Tips / Indiana Department of Workforce Development & Wheeler High School","Cybearcats","46385",2003,NA,"IN",1000,"http://www.cybearcats.com"
NA,"Lyndhurst","USA",NA,NA,"frc1001",NA,NA,NA,NA,"NASA / Rockwell Automation & Charles F. Brush High School","Hacksaw","44124",2003,NA,"OH",1001,"http://sites.google.com/site/homeofbrushrobotics/"
NA,"Marietta","USA",NA,NA,"frc1002",NA,NA,NA,NA,"NCR/RW Smith Company/Lockheed Martin/StartProto/Parker's 3D Prints/Chick-fil-A/Sevaa Group/Center for Advanced Studies Foundation&Joseph Wheeler High School","CircuitRunners Robotics","30068",2003,"Joseph Wheeler High School","Georgia",1002,"http://www.circuitrunners.com/"
NA,"St. Louis","USA",NA,NA,"frc1005",NA,NA,NA,NA,"Cee Kay Supply/Lewis Pumps & Chaminade College Preparatory School","Chaminade Robotics","63131",2003,NA,"MO",1005,"http://portal.chaminade-stl.com"
NA,"Port Perry","Canada",NA,NA,"frc1006",NA,NA,NA,NA,"General Motors of Canada (Engng & Product Planning) & Port Perry High School","Fast Eddie Robotics","L9L 1A7",2003,NA,"ON",1006,"http://www.team1006.ca"
NA,"Snellville","USA",NA,NA,"frc1007",NA,NA,NA,NA,"ST Realtor & Gwinnett County Public Schools","The Tyrants","30039",2003,NA,"GA",1007,"http://www.shiloh.high.gwinnett.k12.ga.us/teachers/852/852.html"
NA,"Columbus","USA",NA,NA,"frc1008",NA,NA,NA,NA,"Tubular Techniques/Columbus City Schools/Shingle Belting/NASA/Chipotle/Romeo's Pizza/Keller Williams Capital Partners/Texas Roadhouse/Buffalo Wild Wings/Rooster's/Jersey Mikes","Team Lugnut","43214",2003,NA,"OH",1008,NA
NA,"North York","Canada",NA,NA,"frc1009",NA,NA,NA,NA,"Georges Vanier Secondary School & TDSB","Bolt Action","M2J 3B6",2003,NA,"ON",1009,"http://www.boltaction1009.com"
NA,"Ortonville","USA",NA,NA,"frc1010",NA,NA,NA,NA,"Continental Teves & Brandon High School","B.C. Hawks","48462",2003,NA,"MI",1010,"http://www.bhswebteam.com/robotics"
NA,"Tucson","USA",NA,NA,"frc1011",NA,NA,NA,NA,"Sigma Technologies/Raytheon/Mr. Brian Maki/Industrial Metal Supply/Cindy Bingham/Brian Cloutier/APEX Technologies/IBM/Hanlon Engineering & Associates/M3 Engineering/CAID Automation/Sunland Asphalt & Sealcoating/Honeywell&Ssa-Tucson K-12","CRUSH","85741",2003,"Ssa-Tucson K-12","Arizona",1011,"http://www.crush1011.org"
NA,"Queen Creek","USA",NA,NA,"frc1013",NA,NA,NA,NA,"The Boeing Company / BAE Systems / Arizona Science Foundation / Employees of Microchip / Magma Engineering Co / Queen Creek Unified School District / Parents of QCHS Robotics & Queen Creek HS","The Phoenix","85142",2003,NA,"AZ",1013,"http://team1013.org"
