"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Los Angeles","USA",NA,NA,"frc6000",NA,NA,NA,NA,"NASA&Shalhevet School","Firehawk Robotics","90036",2016,"Shalhevet School","California",6000,"http://www.team6000.com/"
NA,"Medellin","Colombia",NA,NA,"frc6001",NA,NA,NA,NA,"Montessori School Medellin/Marymount School Medellin/Colegio San Jose de las Vegas/Colegio Colombo Britanico Medellin/Compania de Maria Medellin/Colegio Canadiense&Colombian Innovation Program","CIP","00574",2016,"Colombian Innovation Program","Antioquia",6001,"https://www.cip6001.co"
NA,"Kalamazoo","USA",NA,NA,"frc6002",NA,NA,NA,NA,"Michigan Department of Education/F&A FABRICATING/SHEETMETAL LOCAL 7/TOYOTA&Kalamazoo Central High School","ZooBOTix","49006",2016,"Kalamazoo Central High School","Michigan",6002,"http://kcentralrobotics.blogspot.com/"
NA,"Buies Creek","USA",NA,NA,"frc6003",NA,NA,NA,NA,"AFCEA / Campbell University / TE Connectivity & Harnett Central High School & Overhills High School","SUM","27506",2016,"Harnett Central High School & Overhills High School","North Carolina",6003,"https://wordpress.campbell.edu/frc6003/"
NA,"Smithfield","USA",NA,NA,"frc6004",NA,NA,NA,NA,"John Deere /Duke Energy Foundation/Leidos/Town of Smithfield&Smithfield-Selma High School","f(x) Robotics","27577",2016,"Smithfield-Selma High School","North Carolina",6004,"http://team6004.com/"
NA,"Custer","USA",NA,NA,"frc6005",NA,NA,NA,NA,"Pennies From Heaven/Toyota/State of Michigan/VFW Gold Bar Post 5096/VFW Gold Bar Post 5096 Auxillary&Mason Co Eastern Jr Sr HS","Cardinaltronics","49405",2016,"Mason Co Eastern Jr Sr HS","Michigan",6005,"https://team6005cardinaltroincs.weebly.com/"
NA,"Albury","Australia",NA,NA,"frc6006",NA,NA,NA,NA,"Murray High School","Albury High School","2640",2016,NA,"New South Wales",6006,"http://www.firstinspires.org/"
NA,"laurieton","Australia",NA,NA,"frc6007",NA,NA,NA,NA,"Camden Haven High School","RoboPod","2443",2016,"Camden Haven High School","New South Wales",6007,"http://www.firstinspires.org/"
NA,"Surrey","Canada",NA,NA,"frc6008",NA,NA,NA,NA,"Princess Margaret Secondary","Lions","V3W2M9",2016,"Princess Margaret Secondary","British Columbia",6008,"http://www.firstinspires.org/"
NA,"Etobicoke","Canada",NA,NA,"frc6009",NA,NA,NA,NA,"Fiat Chrysler Automobiles/TCDSB/CSPC/Humbervale Montessori School&Father John Redmond C.S.S.","CYBERHEART","M8V 4B7",2016,"Father John Redmond C.S.S.","Ontario",6009,"http://www.firstinspires.org/"
NA,"MAZATLAN","Mexico",NA,NA,"frc6010",NA,NA,NA,NA,"Universidad Tecmilenio Campus Mazatlán","Tecmilenio - Teravolts - 6010","82113",2016,"Universidad Tecmilenio Campus Mazatlán","Sinaloa",6010,"Coming Soon"
NA,"Sturgis","USA",NA,NA,"frc6011",NA,NA,NA,NA,"Sturgis High School","Cyber Trojans","49091",2016,"Sturgis High School","Michigan",6011,"http://www.firstinspires.org/"
NA,"Bedford","USA",NA,NA,"frc6012",NA,NA,NA,NA,"Sandy & Danny Daugherty/The PI Labs/General Motors/ALION/Allied Automation/DoD STEM/Indiana University School of Informatics and Computing/Lawrence County STEAM/Turner Contracting Inc/Bedford Federal Savings Bank/Tri-County Builders/Whitney Tool Company/Atchison Eye Care/Remax Realty/Southern Indiana Home Inspections/Limestone Robotics/North Lawrence Community Schools/North Lawrence Career Center/Scientia&Family/Community","STEAMROLLERS","47421",2016,"Family/Community","Indiana",6012,"http:///www.frc6012.org"
NA,"Detroit","USA",NA,NA,"frc6013",NA,NA,NA,NA,"ZF-TRW&Cornerstone Health+Technology High School","Robowolves","48235",2016,"Cornerstone Health+Technology High School","Michigan",6013,"http://www.firstinspires.org/"
NA,"Istanbul","Turkey",NA,NA,"frc6014",NA,NA,NA,NA,"Zorlu/Inveon/Donmez Debriyaj/CitusData/LCWAIKIKI/Bosch/NETAS/Sabanci Holding/Fikret Yuksel Foundation&Robert College","ARC","34345",2016,"Robert College","Istanbul",6014,"https://arc6014.com"
NA,"Hackensack","USA",NA,NA,"frc6015",NA,NA,NA,NA,"Juicy Platters / MAR ROBOTICS / FIRST ROBOTICS ROOKIE GRANT & Hackensack High","Juicy Bots","07601",2016,NA,"New Jersey",6015,"http:///n/a"
NA,"Hackettstown","USA",NA,NA,"frc6016",NA,NA,NA,NA,"Hackettstown High School","Tiger Robotics","07840",2016,"Hackettstown High School","New Jersey",6016,"http://www.firstinspires.org/"
NA,"Santa Catarina / Tuxtla Gutierrez, Chiapas","Mexico",NA,NA,"frc6017",NA,NA,NA,NA,"PrepaTec Santa Catarina/Kinetica/Grupo Expomex/Milwaukee Tools Mexico&Tecnologico de Monterrey, PrepaTec Santa Catarina","PrepaTec - Cyberius","66180",2016,"Tecnologico de Monterrey, PrepaTec Santa Catarina","Nuevo León",6017,"http://cyberius.team"
NA,"Lanzhou","China",NA,NA,"frc6018",NA,NA,NA,NA,"High School Attached to Northwestern Normal University","TICK","730070",2016,"High School Attached to Northwestern Normal University","Gansu",6018,"http://www.firstinspires.org/"
NA,"Metamora","USA",NA,NA,"frc6019",NA,NA,NA,NA,"Lapeer Area Homeschool Athletics&Home School&Lapeer Area Homeschool Athletics","Metabots","48455",2016,"Lapeer Area Homeschool Athletics & Home School","Michigan",6019,"http://www.firstinspires.org/"
NA,"Bay City","USA",NA,NA,"frc6020",NA,NA,NA,NA,"John Glenn High School","John Glenn Robotics","48706",2016,"John Glenn High School","Michigan",6020,"http://www.firstinspires.org/"
NA,"Sussex","USA",NA,NA,"frc6021",NA,NA,NA,NA,"Virginia State University / Exxon Mobil / Davis Oil Company & Sussex Central High School","Team T.I.G.E.R.S","23884",2016,"Sussex Central High School","Virginia",6021,"http://www.firstinspires.org/"
NA,"Blooming Prairie","USA",NA,NA,"frc6022",NA,NA,NA,NA,"Minimizer / Metal Services / Boeing / Blooming Prairie Education Foundation / Olmsted Medical Center & Blooming Prairie Jr Sr HS","Wrench Warmers","55917",2016,"Blooming Prairie Jr Sr HS","Minnesota",6022,"http://www.wrenchwarmers6022.com/"
NA,"Atlanta","USA",NA,NA,"frc6023",NA,NA,NA,NA,"Novelis/Neo Engineering League of America/DoD STEM/Johnson STEM Activity Center/Five Star Hospitality & Development/Lee's Grocery Store/First Alliance Church & Family/Community & The SAE School","DISCBOTS","30312",2016,"The SAE School & Family/Community","Georgia",6023,"https://www.nelarobotics.org"
NA,"Mumbai","India",NA,NA,"frc6024",NA,NA,NA,NA,"Neighborhood Group","R Factor","400056",2016,"Neighborhood Group","Maharashtra",6024,"http://www.rfactor6024.com/"
NA,"Istanbul","Turkey",NA,NA,"frc6025",NA,NA,NA,NA,"Bahcesehir Anatolian Highschool","Adroit Androids","34538",2016,"Bahcesehir Anatolian Highschool","Istanbul",6025,"http://team6025.com/"
NA,"Broken Arrow","USA",NA,NA,"frc6026",NA,NA,NA,NA,"SOLVAY/D.O.D. STEM/FlightSafety International/American Electric Power/Pathway Services Inc.&Broken Arrow High School","Tiger Strike","74012",2016,"Broken Arrow High School","Oklahoma",6026,"https://frc-events.firstinspires.org/2019/team/6026"
NA,"Newark","USA",NA,NA,"frc6027",NA,NA,NA,NA,"NASA Glenn/Newark Catholic High School/Steve and Selena Hitchens & Newark Catholic High School","Brain Waves","43055",2016,"Newark Catholic High School","Ohio",6027,"https://www.newarkcatholic.org/robotics/"
NA,"Wuhan","China",NA,NA,"frc6028",NA,NA,NA,NA,"Shenzhen DADALELE Culture Communication Co., LTD  & WUHAN RAYSON SCHOOL","Rs Artisan","430000",2016,"WUHAN RAYSON SCHOOL","Hubei",6028,"http://www.firstinspires.org/"
